hotel_id,place_id,hotel_name,area,address,google_rating,google_review_count,source_url,target_review_cap,collection_priority
BOD032,ChIJ6Wqm-Z9tvhQRpt55tZ1NK5c,Paloma Family Club Bitez,Bitez,"Mevkii, Bitez Mahallesi Gündönümü, 2156. Sokak, 48400 Bodrum/Muğla, Türkiye",4.4,1201,https://www.google.com/maps/search/?api=1&query=Paloma%20Family%20Club%20Bitez&query_place_id=ChIJ6Wqm-Z9tvhQRpt55tZ1NK5c,75,52
BOD060,ChIJjfpFULBtvhQRmWBxrJ_BUrk,Club Shark Hotel,Gümbet,"Gümbet, Yel Değirmeni Cd. No:4, 48400 Bodrum/Muğla, Türkiye",4.2,1124,https://www.google.com/maps/search/?api=1&query=Club%20Shark%20Hotel&query_place_id=ChIJjfpFULBtvhQRmWBxrJ_BUrk,75,53
BOD036,ChIJGdWqDm5svhQRoL1G8LyU33U,Bodrium Hotel & SPA,Bodrum Merkez,"Eskiçeşme, Büyük İskender Cd. No:13, 48400 Bodrum/Muğla, Türkiye",4.6,1102,https://www.google.com/maps/search/?api=1&query=Bodrium%20Hotel%20%26%20SPA&query_place_id=ChIJGdWqDm5svhQRoL1G8LyU33U,75,54
BOD046,ChIJLcWrMBdtvhQRNeCOGk70ZYE,Senses Hotel,Bodrum Merkez,"Kumbahçe, Atatürk Cd. No:179, 48400 Bodrum/Muğla, Türkiye",4.7,1035,https://www.google.com/maps/search/?api=1&query=Senses%20Hotel&query_place_id=ChIJLcWrMBdtvhQRNeCOGk70ZYE,75,55
BOD189,ChIJzZ-AXwhxvhQRIcUswS4ooeI,The Bodrum EDITION,Yalıkavak,"Dirmil, Balyek Cd. No 5A, 48400 Bodrum/Muğla, Türkiye",4.4,1016,https://www.google.com/maps/search/?api=1&query=The%20Bodrum%20EDITION&query_place_id=ChIJzZ-AXwhxvhQRIcUswS4ooeI,75,56
BOD047,ChIJB_Y3_BBsvhQRK4aYUqtoLGI,The Marmara Bodrum,Bodrum Merkez,"Yokuşbaşı, Sulu Hasan Cd. No:18, 48400 Bodrum/Muğla, Türkiye",4.7,987,https://www.google.com/maps/search/?api=1&query=The%20Marmara%20Bodrum&query_place_id=ChIJB_Y3_BBsvhQRK4aYUqtoLGI,75,57
BOD168,ChIJIzcNzrdvvhQRubhhrYtOPbo,Kuum Hotel & SPA Bodrum,Türkbükü,"Türkbükü, Atatürk Cd. No:150, 48400 Bodrum/Muğla, Türkiye",4.3,983,https://www.google.com/maps/search/?api=1&query=Kuum%20Hotel%20%26%20SPA%20Bodrum&query_place_id=ChIJIzcNzrdvvhQRubhhrYtOPbo,75,58
BOD030,ChIJZat9EHVtvhQR_YVjYQPaSPY,Natur Garden Hotel Bitez Bodrum,Bitez,"Bitez, 1312. Sk. No:1, 48470 Bodrum/Muğla, Türkiye",3.9,964,https://www.google.com/maps/search/?api=1&query=Natur%20Garden%20Hotel%20Bitez%20Bodrum&query_place_id=ChIJZat9EHVtvhQR_YVjYQPaSPY,75,59
BOD020,ChIJybxupHVtvhQRKBpK_CDad1Q,Bitez Risa Hotel,Bitez,"Bitez, 1310. Sk. No:4, 48470 Bodrum/Muğla, Türkiye",3.7,919,https://www.google.com/maps/search/?api=1&query=Bitez%20Risa%20Hotel&query_place_id=ChIJybxupHVtvhQRKBpK_CDad1Q,75,60
BOD021,ChIJf3a3w55tvhQR0pFtmdOTw2Q,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,"Asarlik Mevkii, Gümbet, Adnan Menderes Cd. No: 89 PK 225, 48400 Bodrum/Muğla, Türkiye",4.5,904,https://www.google.com/maps/search/?api=1&query=Caresse%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Bodrum&query_place_id=ChIJf3a3w55tvhQR0pFtmdOTw2Q,75,61
BOD152,ChIJr-wURTNpvhQRgfqUtlooL3o,"Susona Bodrum, LXR Hotels & Resorts",Torba,"Torba, Kaynar Cd No:15, 48420 Bodrum/Muğla, Türkiye",4.8,886,https://www.google.com/maps/search/?api=1&query=Susona%20Bodrum%2C%20LXR%20Hotels%20%26%20Resorts&query_place_id=ChIJr-wURTNpvhQRgfqUtlooL3o,75,62
BOD026,ChIJARY9WHRtvhQRelTaH2laRj0,Manuela Otel Bitez,Bitez,"Bitez, Pomelan Cd. No:28, 48400 Bodrum/Muğla, Türkiye",4.6,871,https://www.google.com/maps/search/?api=1&query=Manuela%20Otel%20Bitez&query_place_id=ChIJARY9WHRtvhQRelTaH2laRj0,75,63
BOD033,ChIJoSspwEFsvhQRf9PM8XwZzmc,Ramada Resort by Wyndham Bodrum,Bitez,"Kavakli Sarnic Cad, Bitez, 1531. Sk. No:6, 48470 Bodrum/Muğla, Türkiye",4.3,870,https://www.google.com/maps/search/?api=1&query=Ramada%20Resort%20by%20Wyndham%20Bodrum&query_place_id=ChIJoSspwEFsvhQRf9PM8XwZzmc,75,64
BOD107,ChIJUcYp3yhnvhQRjQlF4F9hnUU,Le Méridien Bodrum Beach Resort,Güvercinlik,"Boğaziçi, Yazlik Siteler Sk No:60, 48670 Bodrum/Muğla, Türkiye",4.2,848,https://www.google.com/maps/search/?api=1&query=Le%20M%C3%A9ridien%20Bodrum%20Beach%20Resort&query_place_id=ChIJUcYp3yhnvhQRjQlF4F9hnUU,75,65
BOD109,ChIJdYbrTSRdvhQRh7vm5iS1GZU,Oscar Seaside Hotel & Spa,Güvercinlik,"Güvercinlik, Güvercinlik Blv No:358, 48450 Bodrum/Muğla, Türkiye",4.0,845,https://www.google.com/maps/search/?api=1&query=Oscar%20Seaside%20Hotel%20%26%20Spa&query_place_id=ChIJdYbrTSRdvhQRh7vm5iS1GZU,75,66
BOD023,ChIJi1RysUtsvhQR-Vso6pE_bpE,Doria Hotel Bodrum,Bitez,"Gündönümü Mevkii, 1410. Sokak, 48400 Bitez Bodrum/Muğla, Türkiye",4.4,774,https://www.google.com/maps/search/?api=1&query=Doria%20Hotel%20Bodrum&query_place_id=ChIJi1RysUtsvhQR-Vso6pE_bpE,75,67
BOD052,ChIJLbUXL7pvvhQRHM5GVHR2Rg0,Flamm Bodrum,Göltürkbükü,"Akdeniz Cd, 30. Sk. No:3, 48400 Bodrum/Muğla, Türkiye",4.5,766,https://www.google.com/maps/search/?api=1&query=Flamm%20Bodrum&query_place_id=ChIJLbUXL7pvvhQRHM5GVHR2Rg0,75,68
BOD166,ChIJs8PYiA9pvhQRk_cQYHnH5Us,Divan Bodrum,Türkbükü,"Türkbükü, Keleş Harim Cd. No:22, 48400 Bodrum/Muğla, Türkiye",4.5,753,https://www.google.com/maps/search/?api=1&query=Divan%20Bodrum&query_place_id=ChIJs8PYiA9pvhQRk_cQYHnH5Us,75,69
