area,area_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,mapping_coverage_pct,coverage_flag,overall_mention_rate_pct,area_mention_rate_pct,lift_pp
Bitez,1,PAYMENT_REFUND,1,100.0,True,5.555555555555555,LOW,52.11864406779661,100.0,47.88135593220339
Bitez,1,PRICE_VALUE,1,100.0,True,5.555555555555555,LOW,47.88135593220339,100.0,52.11864406779661
Bitez,1,CHECKIN_CHECKOUT,0,0.0,True,5.555555555555555,LOW,1.694915254237288,0.0,-1.694915254237288
Bitez,1,AIR_CONDITIONING,0,0.0,True,5.555555555555555,LOW,8.05084745762712,0.0,-8.05084745762712
Bitez,1,NOISE,0,0.0,True,5.555555555555555,LOW,5.508474576271187,0.0,-5.508474576271187
Bitez,1,FAMILY_CHILDREN,0,0.0,True,5.555555555555555,LOW,22.45762711864407,0.0,-22.45762711864407
Bitez,1,TRANSPORT_TRANSFER,0,0.0,True,5.555555555555555,LOW,5.508474576271187,0.0,-5.508474576271187
Bitez,1,MANAGEMENT_COMMUNICATION,1,100.0,True,5.555555555555555,LOW,59.32203389830509,100.0,40.67796610169491
Bitez,1,SPA_WELLNESS,0,0.0,True,5.555555555555555,LOW,5.932203389830509,0.0,-5.932203389830509
Bitez,1,SAFETY_SECURITY,1,100.0,True,5.555555555555555,LOW,22.033898305084747,100.0,77.96610169491525
Bodrum Merkez,13,STAFF_SERVICE,11,84.61538461538461,False,23.076923076923077,LOW,67.37288135593221,84.61538461538461,17.242503259452405
Bodrum Merkez,13,CLEANLINESS_HYGIENE,6,46.15384615384615,False,23.076923076923077,LOW,44.91525423728814,46.15384615384615,1.2385919165580148
Bodrum Merkez,13,FOOD_BEVERAGE,7,53.84615384615385,False,23.076923076923077,LOW,51.69491525423729,53.84615384615385,2.1512385919165595
Bodrum Merkez,13,ROOM,9,69.23076923076923,False,23.076923076923077,LOW,60.16949152542373,69.23076923076923,9.061277705345496
Bodrum Merkez,13,BEACH_SEA,4,30.76923076923077,False,23.076923076923077,LOW,29.661016949152543,30.76923076923077,1.1082138200782268
Bodrum Merkez,13,POOL,1,7.6923076923076925,False,23.076923076923077,LOW,16.52542372881356,7.6923076923076925,-8.833116036505867
Bodrum Merkez,13,FACILITIES_MAINTENANCE,7,53.84615384615385,False,23.076923076923077,LOW,38.983050847457626,53.84615384615385,14.86310299869622
Bodrum Merkez,13,RESERVATION,4,30.76923076923077,False,23.076923076923077,LOW,39.83050847457627,30.76923076923077,-9.0612777053455
Bodrum Merkez,13,PAYMENT_REFUND,8,61.53846153846154,False,23.076923076923077,LOW,52.11864406779661,61.53846153846154,9.419817470664931
Bodrum Merkez,13,PRICE_VALUE,5,38.46153846153846,False,23.076923076923077,LOW,47.88135593220339,38.46153846153846,-9.419817470664931
Bodrum Merkez,13,CHECKIN_CHECKOUT,0,0.0,False,23.076923076923077,LOW,1.694915254237288,0.0,-1.694915254237288
Bodrum Merkez,13,AIR_CONDITIONING,3,23.076923076923077,False,23.076923076923077,LOW,8.05084745762712,23.076923076923077,15.026075619295957
Bodrum Merkez,13,NOISE,0,0.0,False,23.076923076923077,LOW,5.508474576271187,0.0,-5.508474576271187
Bodrum Merkez,13,FAMILY_CHILDREN,0,0.0,False,23.076923076923077,LOW,22.45762711864407,0.0,-22.45762711864407
Bodrum Merkez,13,TRANSPORT_TRANSFER,1,7.6923076923076925,False,23.076923076923077,LOW,5.508474576271187,7.6923076923076925,2.1838331160365057
Bodrum Merkez,13,MANAGEMENT_COMMUNICATION,7,53.84615384615385,False,23.076923076923077,LOW,59.32203389830509,53.84615384615385,-5.47588005215124
Bodrum Merkez,13,SPA_WELLNESS,3,23.076923076923077,False,23.076923076923077,LOW,5.932203389830509,23.076923076923077,17.144719687092568
Bodrum Merkez,13,SAFETY_SECURITY,1,7.6923076923076925,False,23.076923076923077,LOW,22.033898305084747,7.6923076923076925,-14.341590612777054
Göltürkbükü,2,STAFF_SERVICE,2,100.0,True,10.0,LOW,67.37288135593221,100.0,32.62711864406779
Göltürkbükü,2,CLEANLINESS_HYGIENE,0,0.0,True,10.0,LOW,44.91525423728814,0.0,-44.91525423728814
Göltürkbükü,2,FOOD_BEVERAGE,1,50.0,True,10.0,LOW,51.69491525423729,50.0,-1.6949152542372872
Göltürkbükü,2,ROOM,0,0.0,True,10.0,LOW,60.16949152542373,0.0,-60.16949152542373
Göltürkbükü,2,BEACH_SEA,0,0.0,True,10.0,LOW,29.661016949152543,0.0,-29.661016949152543
Göltürkbükü,2,POOL,0,0.0,True,10.0,LOW,16.52542372881356,0.0,-16.52542372881356
Göltürkbükü,2,FACILITIES_MAINTENANCE,2,100.0,True,10.0,LOW,38.983050847457626,100.0,61.016949152542374
Göltürkbükü,2,RESERVATION,1,50.0,True,10.0,LOW,39.83050847457627,50.0,10.16949152542373
Göltürkbükü,2,PAYMENT_REFUND,0,0.0,True,10.0,LOW,52.11864406779661,0.0,-52.11864406779661
Göltürkbükü,2,PRICE_VALUE,1,50.0,True,10.0,LOW,47.88135593220339,50.0,2.118644067796609
Göltürkbükü,2,CHECKIN_CHECKOUT,0,0.0,True,10.0,LOW,1.694915254237288,0.0,-1.694915254237288
Göltürkbükü,2,AIR_CONDITIONING,0,0.0,True,10.0,LOW,8.05084745762712,0.0,-8.05084745762712
Göltürkbükü,2,NOISE,0,0.0,True,10.0,LOW,5.508474576271187,0.0,-5.508474576271187
Göltürkbükü,2,FAMILY_CHILDREN,0,0.0,True,10.0,LOW,22.45762711864407,0.0,-22.45762711864407
Göltürkbükü,2,TRANSPORT_TRANSFER,0,0.0,True,10.0,LOW,5.508474576271187,0.0,-5.508474576271187
Göltürkbükü,2,MANAGEMENT_COMMUNICATION,1,50.0,True,10.0,LOW,59.32203389830509,50.0,-9.322033898305087
Göltürkbükü,2,SPA_WELLNESS,0,0.0,True,10.0,LOW,5.932203389830509,0.0,-5.932203389830509
Göltürkbükü,2,SAFETY_SECURITY,1,50.0,True,10.0,LOW,22.033898305084747,50.0,27.966101694915253
Gümbet,24,STAFF_SERVICE,13,54.166666666666664,False,40.0,ADEQUATE_EXPLORATORY,67.37288135593221,54.166666666666664,-13.206214689265543
Gümbet,24,CLEANLINESS_HYGIENE,8,33.333333333333336,False,40.0,ADEQUATE_EXPLORATORY,44.91525423728814,33.333333333333336,-11.581920903954803
Gümbet,24,FOOD_BEVERAGE,11,45.833333333333336,False,40.0,ADEQUATE_EXPLORATORY,51.69491525423729,45.833333333333336,-5.8615819209039515
Gümbet,24,ROOM,14,58.333333333333336,False,40.0,ADEQUATE_EXPLORATORY,60.16949152542373,58.333333333333336,-1.8361581920903944
Gümbet,24,BEACH_SEA,7,29.166666666666668,False,40.0,ADEQUATE_EXPLORATORY,29.661016949152543,29.166666666666668,-0.4943502824858754
Gümbet,24,POOL,3,12.5,False,40.0,ADEQUATE_EXPLORATORY,16.52542372881356,12.5,-4.025423728813561
Gümbet,24,FACILITIES_MAINTENANCE,7,29.166666666666668,False,40.0,ADEQUATE_EXPLORATORY,38.983050847457626,29.166666666666668,-9.816384180790958
Gümbet,24,RESERVATION,13,54.166666666666664,False,40.0,ADEQUATE_EXPLORATORY,39.83050847457627,54.166666666666664,14.336158192090394
Gümbet,24,PAYMENT_REFUND,12,50.0,False,40.0,ADEQUATE_EXPLORATORY,52.11864406779661,50.0,-2.118644067796609
Gümbet,24,PRICE_VALUE,10,41.666666666666664,False,40.0,ADEQUATE_EXPLORATORY,47.88135593220339,41.666666666666664,-6.214689265536727
Gümbet,24,CHECKIN_CHECKOUT,0,0.0,False,40.0,ADEQUATE_EXPLORATORY,1.694915254237288,0.0,-1.694915254237288
Gümbet,24,AIR_CONDITIONING,1,4.166666666666667,False,40.0,ADEQUATE_EXPLORATORY,8.05084745762712,4.166666666666667,-3.8841807909604524
Gümbet,24,NOISE,0,0.0,False,40.0,ADEQUATE_EXPLORATORY,5.508474576271187,0.0,-5.508474576271187
Gümbet,24,FAMILY_CHILDREN,3,12.5,False,40.0,ADEQUATE_EXPLORATORY,22.45762711864407,12.5,-9.95762711864407
Gümbet,24,TRANSPORT_TRANSFER,3,12.5,False,40.0,ADEQUATE_EXPLORATORY,5.508474576271187,12.5,6.991525423728813
Gümbet,24,MANAGEMENT_COMMUNICATION,17,70.83333333333333,False,40.0,ADEQUATE_EXPLORATORY,59.32203389830509,70.83333333333333,11.511299435028242
Gümbet,24,SPA_WELLNESS,0,0.0,False,40.0,ADEQUATE_EXPLORATORY,5.932203389830509,0.0,-5.932203389830509
Gümbet,24,SAFETY_SECURITY,5,20.833333333333332,False,40.0,ADEQUATE_EXPLORATORY,22.033898305084747,20.833333333333332,-1.2005649717514153
Gümüşlük,7,STAFF_SERVICE,1,14.285714285714286,True,6.666666666666667,LOW,67.37288135593221,14.285714285714286,-53.08716707021792
Gümüşlük,7,CLEANLINESS_HYGIENE,2,28.571428571428573,True,6.666666666666667,LOW,44.91525423728814,28.571428571428573,-16.343825665859566
Gümüşlük,7,FOOD_BEVERAGE,0,0.0,True,6.666666666666667,LOW,51.69491525423729,0.0,-51.69491525423729
Gümüşlük,7,ROOM,4,57.142857142857146,True,6.666666666666667,LOW,60.16949152542373,57.142857142857146,-3.0266343825665842
Gümüşlük,7,BEACH_SEA,0,0.0,True,6.666666666666667,LOW,29.661016949152543,0.0,-29.661016949152543
Gümüşlük,7,POOL,0,0.0,True,6.666666666666667,LOW,16.52542372881356,0.0,-16.52542372881356
Gümüşlük,7,FACILITIES_MAINTENANCE,0,0.0,True,6.666666666666667,LOW,38.983050847457626,0.0,-38.983050847457626
Gümüşlük,7,RESERVATION,7,100.0,True,6.666666666666667,LOW,39.83050847457627,100.0,60.16949152542373
