hotel_id,hotel_name,area,page_status,mapping_status,complaint_n,top_aspects,company_reply_n,company_reply_visibility_pct,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,support_level,data_quality_note
BOD032,Paloma Family Club Bitez,Bitez,VISIBLE_COMPLAINTS,MATCHED_HIGH_CONFIDENCE,1,CLEANLINESS_HYGIENE:100.0%|PAYMENT_REFUND:100.0%|PRICE_VALUE:100.0%,0.0,0.0,1201,0.8326394671107411,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,870,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD034,Çınar Butik Otel Bodrum,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,226,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,1926,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,1102,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD037,Bodrum Bay Resort,Bodrum Merkez,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,PAGE_FOUND_NO_COMPLAINT,0,,0.0,,1825,0.0,MODERATE_DENOMINATOR,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,found_page_no_visible_complaint_does_not_mean_problem_free
BOD038,Casa Mare Bodrum,Bodrum Merkez,VISIBLE_COMPLAINTS,MATCHED_EXACT,1,PAYMENT_REFUND:100.0%|RESERVATION:100.0%|ROOM:100.0%,0.0,0.0,274,3.6496350364963503,LOW_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD039,Casa Nonna Bodrum,Bodrum Merkez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,238,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,VISIBLE_COMPLAINTS,MATCHED_EXACT,10,CLEANLINESS_HYGIENE:80.0%|STAFF_SERVICE:80.0%|BEACH_SEA:70.0%,0.0,0.0,3022,3.309066843150232,STRONGER_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=1; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,VISIBLE_COMPLAINTS,MATCHED_EXACT,5,STAFF_SERVICE:80.0%|AIR_CONDITIONING:40.0%|FOOD_BEVERAGE:40.0%,0.0,0.0,1764,2.834467120181406,MODERATE_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
