hotel_id,hotel_name,area,total_review_n,text_review_n,low_n,mixed_n,high_n,general_nlp_ready,positive_driver_ready,negative_driver_ready,full_driver_ready
BOD067,Sami Beach Hotel,Gümbet,0,0,0,0,0,False,False,False,False
BOD016,Xanadu Island,Akyarlar,0,0,0,0,0,False,False,False,False
BOD088,Baia Bodrum Hotel,Gündoğan,0,0,0,0,0,False,False,False,False
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD065,Mirada Exclusive Bodrum,Gümbet,0,0,0,0,0,False,False,False,False
BOD037,Bodrum Bay Resort,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD158,Arin Resort Bodrum,Turgutreis,0,0,0,0,0,False,False,False,False
BOD058,Bodrum Beach Resort,Gümbet,0,0,0,0,0,False,False,False,False
BOD072,VERY CHIC BODRUM,Gümbet,0,0,0,0,0,False,False,False,False
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,0,0,0,0,0,False,False,False,False
BOD042,Mandarin Resort Hotel,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD164,Swissôtel Resort Bodrum Sahili,Turgutreis,0,0,0,0,0,False,False,False,False
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD061,Gümbet Anıl Beach,Gümbet,0,0,0,0,0,False,False,False,False
BOD006,Club Marma Hotel,Akyarlar,0,0,0,0,0,False,False,False,False
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,0,0,0,0,0,False,False,False,False
BOD163,Sundance Resort,Turgutreis,0,0,0,0,0,False,False,False,False
BOD017,Ambrosia Otel Beach & Spa,Bitez,0,0,0,0,0,False,False,False,False
BOD104,Greenport Bodrum,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD169,MACAKIZI BODRUM,Türkbükü,0,0,0,0,0,False,False,False,False
BOD070,The Luvi Hotel,Gümbet,0,0,0,0,0,False,False,False,False
BOD032,Paloma Family Club Bitez,Bitez,0,0,0,0,0,False,False,False,False
BOD060,Club Shark Hotel,Gümbet,0,0,0,0,0,False,False,False,False
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD046,Senses Hotel,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD189,The Bodrum EDITION,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD047,The Marmara Bodrum,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,0,0,0,0,0,False,False,False,False
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,0,0,0,0,0,False,False,False,False
BOD020,Bitez Risa Hotel,Bitez,0,0,0,0,0,False,False,False,False
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,0,0,0,0,0,False,False,False,False
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,0,0,0,0,0,False,False,False,False
BOD026,Manuela Otel Bitez,Bitez,0,0,0,0,0,False,False,False,False
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,0,0,0,0,0,False,False,False,False
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD023,Doria Hotel Bodrum,Bitez,0,0,0,0,0,False,False,False,False
BOD052,Flamm Bodrum,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD166,Divan Bodrum,Türkbükü,0,0,0,0,0,False,False,False,False
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,0,0,0,0,0,False,False,False,False
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,0,0,0,0,0,False,False,False,False
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD151,Sarpedor Boutique Hotel & SPA,Torba,0,0,0,0,0,False,False,False,False
BOD192,Yalıpark Beach Hotel,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD162,Rammos Managed by Dedeman,Turgutreis,0,0,0,0,0,False,False,False,False
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD095,Mivara Luxury Bodrum,Gündoğan,0,0,0,0,0,False,False,False,False
BOD153,The Oba Hotel,Torba,0,0,0,0,0,False,False,False,False
BOD064,Jasmin Elite Residence & Spa,Gümbet,0,0,0,0,0,False,False,False,False
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD057,Selvi Bodrum,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD112,Azure By Yelken Hotel,Kadıkalesi,0,0,0,0,0,False,False,False,False
BOD157,Voyage Torba Private,Torba,0,0,0,0,0,False,False,False,False
BOD009,LİV OTEL,Akyarlar,0,0,0,0,0,False,False,False,False
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD069,Siesta Beach Apart,Gümbet,0,0,0,0,0,False,False,False,False
BOD142,Hotel Torbahan,Torba,0,0,0,0,0,False,False,False,False
BOD127,Kriss Hotel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD075,Benjamin Otel,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD086,Vega Aparts,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD031,Okaliptus Otel,Bitez,0,0,0,0,0,False,False,False,False
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD059,Bodrum Hotel Baba,Gümbet,0,0,0,0,0,False,False,False,False
BOD183,Ruins Luxury Resort,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD082,Otel Gümüşlük,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,0,0,0,0,0,False,False,False,False
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,0,0,0,0,0,False,False,False,False
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD077,Ladonia Hotels Zemda,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD111,Zena Hotel Bodrum,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD143,Hotel Zeytinada,Torba,0,0,0,0,0,False,False,False,False
BOD098,Swissôtel Living Bodrum,Gündoğan,0,0,0,0,0,False,False,False,False
BOD145,Moyo Luxury Hotel & Beach,Torba,0,0,0,0,0,False,False,False,False
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,0,0,0,0,0,False,False,False,False
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD102,Akyalı Butik Hotel,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD170,No:81 Hotel,Türkbükü,0,0,0,0,0,False,False,False,False
BOD139,Casa Dell'arte Otel,Torba,0,0,0,0,0,False,False,False,False
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,0,0,0,0,0,False,False,False,False
BOD024,HAKAN OTEL,Bitez,0,0,0,0,0,False,False,False,False
BOD092,Liona Hotel,Gündoğan,0,0,0,0,0,False,False,False,False
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD010,Mare Garden Hotel,Akyarlar,0,0,0,0,0,False,False,False,False
BOD071,Tropicana Beach Hotel,Gümbet,0,0,0,0,0,False,False,False,False
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD038,Casa Mare Bodrum,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD028,Mira Beach Resort Bodrum,Bitez,0,0,0,0,0,False,False,False,False
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD049,Casa Del Mar Bodrum,Göltürkbükü,0,0,0,0,0,False,False,False,False
