file_path,file_type,size_bytes,modified_at_local,line_count,row_count,column_count,columns,hotel_count,source_url_coverage_pct,detail_coverage_pct,reply_coverage_pct,date_coverage_pct,duplicate_candidate_excess_count,empty_complaint_text_count,purpose,notebook_execution_status,notebook_executed_code_cells,notebook_output_cells,notebook_sikayetvar_references
data/raw/sikayetvar/sikayetvar_hotel_mapping.csv,csv,48998,2026-08-26T07:02:07.903607368,193.0,192.0,16.0,hotel_id|place_id|hotel_name|area|sikayetvar_company_name|sikayetvar_url|sikayetvar_slug|match_status|match_score|match_method|match_reason|candidate_count|manual_review_required|page_accessible|visible_complaint_count|checked_at,192.0,51.04,,,,,,"Hotel entity mapping, mapping summary, or manual-review evidence",,,,
data/raw/sikayetvar/sikayetvar_mapping_candidates.csv,csv,46893,2026-08-26T07:02:07.903607368,142.0,141.0,20.0,hotel_id|hotel_name|area|search_query|candidate_company_name|candidate_url|candidate_slug|candidate_page_title|name_similarity|area_evidence|bodrum_evidence|address_evidence|phone_evidence|brand_evidence|negative_brand_conflict|candidate_score|match_method|candidate_rank|visible_complaint_count|discovered_at,98.0,,,,,,,Discovery candidate evidence for hotel-to-Sikayetvar mapping,,,,
data/raw/sikayetvar/sikayetvar_scrape_status_all_hotels.csv,csv,6285,2026-08-26T07:02:07.903607368,35.0,34.0,16.0,area|company_response_count|complaint_links_found|details_failed|details_success|hotel_id|hotel_name|last_error|last_page_checked|last_updated|mapping_score|mapping_status|scrape_status|source_page|source_page_accessible|unique_complaints_found,34.0,100.0,,,,,,Scraping checkpoint/status summary,,,,
notebooks/10_airport_tourism_joint_analysis.ipynb,ipynb,1157451,2026-08-26T07:02:07.948836565,4635.0,,,,,,,,,,,Executed Sikayetvar analysis notebook,EXECUTED,29.0,27.0,
notebooks/11_project_intelligence_summary.ipynb,ipynb,1808670,2026-08-26T07:02:07.959135294,3803.0,,,,,,,,,,,Executed Sikayetvar analysis notebook,EXECUTED,34.0,33.0,
notebooks/12_sikayetvar_all_hotels_audit_cleaning.ipynb,ipynb,521374,2026-08-26T07:02:07.962715626,6179.0,,,,,,,,,,,"Data quality, schema, deduplication, or cleaning evidence",EXECUTED,31.0,31.0,README_sikayetvar_clean.txt|sikayetvar_all_complaint_links.csv|sikayetvar_all_hotels_complaints_clean.csv|sikayetvar_all_hotels_complaints_raw.csv|sikayetvar_all_hotels_replies_clean.csv|sikayetvar_all_hotels_replies_raw.csv|sikayetvar_all_hotels_scraping_summary.txt|sikayetvar_audit_cleaning_key_findings.txt|sikayetvar_audit_cleaning_limitations.txt|sikayetvar_clean_coverage_by_area.csv|sikayetvar_clean_coverage_by_hotel.csv|sikayetvar_cleaning_drop_log.csv|sikayetvar_cleaning_summary.csv|sikayetvar_company_response_consistency.csv|sikayetvar_complaint_entity_status_audit.csv|sikayetvar_complaint_key_audit.csv|sikayetvar_complaint_missing_values.csv|sikayetvar_complaint_schema_audit.csv|sikayetvar_complaints_excluded_wrong_property.csv|sikayetvar_complaints_manual_review.csv|sikayetvar_complaints_review_required.csv|sikayetvar_date_parse_patterns.csv|sikayetvar_exact_duplicate_audit.csv|sikayetvar_hotel_mapping.csv|sikayetvar_hotel_mapping_status_audit.csv|sikayetvar_hotel_metadata_mismatches.csv|sikayetvar_mapping_candidates.csv|sikayetvar_near_duplicate_candidates.csv|sikayetvar_orphan_replies_audit.csv|sikayetvar_output_validation.csv|sikayetvar_reply_count_consistency.csv|sikayetvar_reply_duplicate_audit.csv|sikayetvar_scrape_status_all_hotels.csv|sikayetvar_scraper_vs_audit_consistency.csv
notebooks/13_sikayetvar_all_hotels_eda.ipynb,ipynb,1312494,2026-08-26T07:02:07.970221996,7900.0,,,,,,,,,,,Descriptive EDA or cross-platform visibility output,EXECUTED,53.0,52.0,sikayetvar_all_hotels_complaints_clean.csv|sikayetvar_all_hotels_replies_clean.csv|sikayetvar_area_eda_summary.csv|sikayetvar_clean_coverage_by_area.csv|sikayetvar_clean_coverage_by_hotel.csv|sikayetvar_cleaning_summary.csv|sikayetvar_company_response_time_summary.csv|sikayetvar_complaints_review_required.csv|sikayetvar_cross_platform_visibility.csv|sikayetvar_eda_key_findings.txt|sikayetvar_eda_limitations.txt|sikayetvar_eda_notable_cases.csv|sikayetvar_eda_output_validation.csv|sikayetvar_hotel_eda_summary.csv|sikayetvar_hotel_level_correlations.csv|sikayetvar_hotel_mapping.csv|sikayetvar_nlp_sample_readiness.csv|sikayetvar_reply_behavior_summary.csv|sikayetvar_scraper_vs_audit_consistency.csv|sikayetvar_temporal_summary.csv
notebooks/14_sikayetvar_all_hotels_nlp_aspect_analysis.ipynb,ipynb,1612376,2026-08-26T07:02:07.980184078,9182.0,,,,,,,,,,,"Aspect taxonomy, mention, lift, validation, or aspect summary output",EXECUTED,47.0,47.0,README_sikayetvar_nlp_features.txt|sikayetvar_all_hotels_complaints_clean.csv|sikayetvar_all_hotels_complaints_nlp.csv|sikayetvar_all_hotels_replies_clean.csv|sikayetvar_area_aspect_lift.csv|sikayetvar_area_aspect_matrix.csv|sikayetvar_area_eda_summary.csv|sikayetvar_area_nlp_features.csv|sikayetvar_area_top_aspects.csv|sikayetvar_aspect_cooccurrence.csv|sikayetvar_aspect_coverage_summary.csv|sikayetvar_aspect_dictionary.csv|sikayetvar_aspect_frequency.csv|sikayetvar_aspect_google_rating_correlations.csv|sikayetvar_aspect_keyword_collisions.csv|sikayetvar_aspect_keyword_context_samples.csv|sikayetvar_aspect_manual_validation_sample.csv|sikayetvar_aspect_response_summary.csv|sikayetvar_company_response_boilerplate.csv|sikayetvar_company_response_terms.csv|sikayetvar_complaint_aspects_long.csv|sikayetvar_eda_key_findings.txt|sikayetvar_eda_limitations.txt|sikayetvar_hotel_aspect_lift.csv|sikayetvar_hotel_aspect_matrix.csv|sikayetvar_hotel_eda_summary.csv|sikayetvar_hotel_nlp_features.csv|sikayetvar_hotel_top_aspects.csv|sikayetvar_nlp_corpus_summary.csv|sikayetvar_nlp_distinctive_terms_by_area.csv|sikayetvar_nlp_distinctive_terms_by_hotel.csv|sikayetvar_nlp_key_findings.txt|sikayetvar_nlp_limitations.txt|sikayetvar_nlp_ngrams.csv|sikayetvar_nlp_output_validation.csv|sikayetvar_nlp_sample_readiness.csv|sikayetvar_nlp_unigram_frequency.csv|sikayetvar_temporal_aspect_summary.csv|sikayetvar_topic_model_gate.csv
notebooks/15_google_maps_reviews_audit_cleaning.ipynb,ipynb,221964,2026-08-26T07:02:07.981191874,1938.0,,,,,,,,,,,"Data quality, schema, deduplication, or cleaning evidence",EXECUTED,19.0,19.0,
notebooks/17_google_maps_reviews_nlp_aspect_drivers.ipynb,ipynb,624658,2026-08-26T07:02:07.987617493,2534.0,,,,,,,,,,,"Aspect taxonomy, mention, lift, validation, or aspect summary output",EXECUTED,24.0,24.0,data/processed/sikayetvar_hotel_nlp_features.csv
