hotel_id,hotel_name,area,master_google_review_count,sample_text_review_n,low_n,mixed_n,high_n,general_nlp_ready,positive_driver_ready,negative_driver_ready,full_driver_ready,sample_review_n,sample_fraction_of_master_reviews
BOD117,Altınkaya Hotel,Ortakent-Yahşi,77,0,0,0,0,False,False,False,False,0,0.0
BOD029,Mumu Bodrum Hotel,Bitez,71,0,0,0,0,False,False,False,False,0,0.0
BOD172,Ailla Yalıkavak,Yalıkavak,69,0,0,0,0,False,False,False,False,0,0.0
BOD091,Gündoğan Suites,Gündoğan,67,0,0,0,0,False,False,False,False,0,0.0
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,62,0,0,0,0,False,False,False,False,0,0.0
BOD149,Roota Bodrum,Torba,56,0,0,0,0,False,False,False,False,0,0.0
BOD084,Paradise Garden Apartments,Gümüşlük,55,0,0,0,0,False,False,False,False,0,0.0
BOD076,Gümüşlük No3,Gümüşlük,52,0,0,0,0,False,False,False,False,0,0.0
BOD138,Bodrum Blue Bay Otel,Torba,51,0,0,0,0,False,False,False,False,0,0.0
BOD015,The Ni Villas Akyarlar,Akyarlar,44,0,0,0,0,False,False,False,False,0,0.0
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,41,0,0,0,0,False,False,False,False,0,0.0
BOD085,Paradise Gümüşlük,Gümüşlük,37,0,0,0,0,False,False,False,False,0,0.0
BOD074,Begonvil Gümüşlük,Gümüşlük,36,0,0,0,0,False,False,False,False,0,0.0
BOD094,Marje Villas,Gündoğan,33,0,0,0,0,False,False,False,False,0,0.0
