term,n,token_count,document_count,document_share_pct
söz konusu,2,4,4,1.7467248908296944
süreçle tarafıma,2,4,4,1.7467248908296944
tarafıma açıklama,2,4,4,1.7467248908296944
tarafımıza iade,2,4,4,1.7467248908296944
tek kişilik,2,4,4,1.7467248908296944
tur aracılığıyla,2,4,4,1.7467248908296944
uzun süredir,2,4,4,1.7467248908296944
yapılacağı söylendi,2,4,4,1.7467248908296944
yapılmasını istiyorum,2,4,4,1.7467248908296944
yok diyerek,2,4,4,1.7467248908296944
yüksek ücret,2,4,4,1.7467248908296944
ödediğimiz ücreti,2,4,4,1.7467248908296944
ödeme yaptım,2,4,4,1.7467248908296944
ücretin karşılığını,2,4,4,1.7467248908296944
ücretinin iadesini,2,4,4,1.7467248908296944
üst üste,2,4,4,1.7467248908296944
hanım ın,2,6,3,1.3100436681222707
kredi kartıma,2,5,3,1.3100436681222707
misafir ilişkileri,2,5,3,1.3100436681222707
müşteri memnuniyeti,2,5,3,1.3100436681222707
balayı konsepti,2,4,3,1.3100436681222707
balayı çiftlerine,2,4,3,1.3100436681222707
boş oda,2,4,3,1.3100436681222707
carte restoran,2,4,3,1.3100436681222707
ertesi sabah,2,4,3,1.3100436681222707
haziran ayında,2,4,3,1.3100436681222707
hijyen standartlarının,2,4,3,1.3100436681222707
hiçbir yok,2,4,3,1.3100436681222707
internet sitesi,2,4,3,1.3100436681222707
içinde iade,2,4,3,1.3100436681222707
kabul etmiyorum,2,4,3,1.3100436681222707
kredi kartıyla,2,4,3,1.3100436681222707
mini bar,2,4,3,1.3100436681222707
misafirlere karşı,2,4,3,1.3100436681222707
odaya döndüğümüzde,2,4,3,1.3100436681222707
profesyonellikten uzak,2,4,3,1.3100436681222707
rica ettik,2,4,3,1.3100436681222707
sayısı yetersizdi,2,4,3,1.3100436681222707
tekrar aradığımda,2,4,3,1.3100436681222707
vaat edilen,2,4,3,1.3100436681222707
yapılacağı bilgisi,2,4,3,1.3100436681222707
yerli yabancı,2,4,3,1.3100436681222707
adı altında,2,3,3,1.3100436681222707
akyarlar daki,2,3,3,1.3100436681222707
akşam saat,2,3,3,1.3100436681222707
aldığımız hizmetin,2,3,3,1.3100436681222707
alınmasını rica,2,3,3,1.3100436681222707
animasyon ekibi,2,3,3,1.3100436681222707
asla tercih,2,3,3,1.3100436681222707
aynı sorun,2,3,3,1.3100436681222707
aynı sorunları,2,3,3,1.3100436681222707
aynı yemekler,2,3,3,1.3100436681222707
