official_facility_id,official_name,official_type,official_star_rating,room_count,bed_count,official_address_area,mapped_project_area
OFFBOD090,CLUB HOTEL FLORA,3 YILDIZLI OTEL,3.0,70.0,140.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD091,ÇOMÇA MANZARA,3 YILDIZLI OTEL,3.0,96.0,215.0,OMURÇA MAH.,Bodrum Merkez
OFFBOD092,DRAGUT POINT NORTH HOTEL,3 YILDIZLI OTEL,3.0,70.0,152.0,TURGUTREİS MAH.,Turgutreis
OFFBOD093,DORUK OTEL,3 YILDIZLI OTEL,3.0,24.0,48.0,BAHÇELİEVLER MAH.,Turgutreis
OFFBOD094,ELİSTA OTEL,3 YILDIZLI OTEL,3.0,28.0,58.0,GÖLTÜRKBÜKÜ,Türkbükü
OFFBOD095,HEREDOT BEACH HOTEL,3 YILDIZLI OTEL,3.0,17.0,36.0,ORTAKENT MAH.,Ortakent-Yahşi
OFFBOD096,KEREM RESORT,3 YILDIZLI OTEL,3.0,86.0,172.0,TURGUTREİS MAH.,Turgutreis
OFFBOD099,MIO MARE HOTEL,3 YILDIZLI OTEL,3.0,50.0,100.0,AKYARLAR MAH.,Akyarlar
OFFBOD101,NATUR GARDEN OTEL,3 YILDIZLI OTEL,3.0,89.0,178.0,BİTEZ MAHALLESİ,Bitez
OFFBOD102,OTEL ATRİUM,3 YILDIZLI OTEL,3.0,57.0,114.0,OMURÇA MAH.,Bodrum Merkez
OFFBOD103,PRİNCESS ARTEMISIA OTEL,3 YILDIZLI OTEL,3.0,50.0,100.0,YALIKAVAK MAH.,Yalıkavak
OFFBOD104,SAMİ OTEL,3 YILDIZLI OTEL,3.0,108.0,216.0,GÜMBET MAH.,Gümbet
OFFBOD105,SEASIDE BEACH CLUB BODRUM,3 YILDIZLI OTEL,3.0,70.0,140.0,ORTAKENT YAHŞİ,Ortakent-Yahşi
OFFBOD106,SEÇKİN KONAKLAR,3 YILDIZLI OTEL,3.0,46.0,111.0,N.TEVFİK CAD.,Bodrum Merkez
OFFBOD108,SERPİNA OTEL,3 YILDIZLI OTEL,3.0,50.0,95.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD109,TAMARİSK MURAT OTEL,3 YILDIZLI OTEL,3.0,41.0,82.0,ORTAKENT MAH.,Ortakent-Yahşi
OFFBOD115,CEMRE OTEL,2 YILDIZLI OTEL,2.0,25.0,50.0,TURGUTREİS MAH.,Turgutreis
OFFBOD116,EDEN OTEL,2 YILDIZLI OTEL,2.0,32.0,64.0,KUMBAHÇE MAH.,Bodrum Merkez
OFFBOD119,HOTEL PALOMA,2 YILDIZLI OTEL,2.0,58.0,116.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD120,HOTEL TOLAMAN,2 YILDIZLI OTEL,2.0,31.0,62.0,BİTEZ MAHALLESİ,Bitez
OFFBOD121,KATAMARAN OTEL,2 YILDIZLI OTEL,2.0,59.0,120.0,UĞUR ÖZTOP CAD.,
OFFBOD122,KORTAN OTEL,2 YILDIZLI OTEL,2.0,25.0,50.0,TURGUTREİS MAH.,Turgutreis
OFFBOD123,LAROSA OTEL,2 YILDIZLI OTEL,2.0,30.0,60.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD124,MANUELA OTEL,2 YILDIZLI OTEL,2.0,34.0,69.0,BİTEZ MAHALLESİ,Bitez
OFFBOD125,MAR OTELİ,2 YILDIZLI OTEL,2.0,16.0,32.0,TURGUTREİS MAH.,Turgutreis
OFFBOD126,MEKHAN OTEL,2 YILDIZLI OTEL,2.0,22.0,44.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD127,ZUZUU BEACH HOTEL,2 YILDIZLI OTEL,2.0,42.0,86.0,YAHŞİ MAH.,Ortakent-Yahşi
OFFBOD128,THE QUEEN ADA,2 YILDIZLI OTEL,2.0,22.0,45.0,TORBA MAHALLESİ,Torba
