hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label
BOD004,CLEANLINESS_HYGIENE,80.0,10,100.0,12.5,66.66666666666667,12,False,BOTH_SOURCE_CONCERN
BOD006,CLEANLINESS_HYGIENE,50.0,10,0.0,100.0,40.0,5,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD007,CLEANLINESS_HYGIENE,50.0,58,40.0,65.5,41.37931034482759,29,False,NO_SIGNAL
BOD010,CLEANLINESS_HYGIENE,80.0,10,66.7,50.0,0.0,1,True,LOW_SUPPORT
BOD012,CLEANLINESS_HYGIENE,70.0,10,14.3,85.7,100.0,4,True,LOW_SUPPORT
BOD016,CLEANLINESS_HYGIENE,90.0,10,33.3,77.8,50.0,4,True,LOW_SUPPORT
BOD031,CLEANLINESS_HYGIENE,66.7,9,50.0,50.0,,0,,GOOGLE_GENERAL_ONLY
BOD032,CLEANLINESS_HYGIENE,53.4,58,25.0,90.3,100.0,1,True,LOW_SUPPORT
BOD045,CLEANLINESS_HYGIENE,59.4,64,75.0,81.6,71.42857142857143,7,False,BOTH_SOURCE_CONCERN
BOD051,CLEANLINESS_HYGIENE,40.0,20,12.5,87.5,,0,,GOOGLE_GENERAL_ONLY
BOD056,CLEANLINESS_HYGIENE,5.6,36,0.0,100.0,0.0,2,True,LOW_SUPPORT
BOD058,CLEANLINESS_HYGIENE,50.0,10,20.0,60.0,0.0,3,True,LOW_SUPPORT
BOD060,CLEANLINESS_HYGIENE,66.2,77,25.0,82.4,0.0,1,True,LOW_SUPPORT
BOD061,CLEANLINESS_HYGIENE,52.3,65,28.6,79.4,0.0,2,True,LOW_SUPPORT
BOD063,CLEANLINESS_HYGIENE,80.0,30,25.0,70.8,0.0,1,True,LOW_SUPPORT
BOD064,CLEANLINESS_HYGIENE,62.1,29,11.1,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD066,CLEANLINESS_HYGIENE,30.0,10,0.0,100.0,33.333333333333336,18,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD067,CLEANLINESS_HYGIENE,44.1,59,33.3,73.1,50.0,6,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD068,CLEANLINESS_HYGIENE,88.9,9,25.0,100.0,44.44444444444444,9,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD077,CLEANLINESS_HYGIENE,75.0,20,100.0,20.0,28.571428571428573,7,False,BOTH_SOURCE_CONCERN
BOD088,CLEANLINESS_HYGIENE,35.0,20,25.0,71.4,,0,,GOOGLE_GENERAL_ONLY
BOD095,CLEANLINESS_HYGIENE,50.0,10,0.0,80.0,,0,,GOOGLE_GENERAL_ONLY
BOD104,CLEANLINESS_HYGIENE,55.6,27,100.0,46.7,50.0,4,True,LOW_SUPPORT
BOD105,CLEANLINESS_HYGIENE,32.5,40,50.0,76.9,,0,,GOOGLE_GENERAL_ONLY
BOD106,CLEANLINESS_HYGIENE,54.5,11,16.7,33.3,26.31578947368421,19,False,NO_SIGNAL
BOD107,CLEANLINESS_HYGIENE,50.0,10,20.0,80.0,75.0,4,True,LOW_SUPPORT
BOD108,CLEANLINESS_HYGIENE,44.4,9,25.0,75.0,13.333333333333334,15,False,GOOGLE_GENERAL_ONLY
BOD109,CLEANLINESS_HYGIENE,55.8,43,25.0,62.5,,0,,GOOGLE_GENERAL_ONLY
BOD113,CLEANLINESS_HYGIENE,54.5,11,33.3,50.0,71.42857142857143,7,False,NO_SIGNAL
BOD120,CLEANLINESS_HYGIENE,60.0,10,100.0,66.7,50.0,2,True,LOW_SUPPORT
BOD126,CLEANLINESS_HYGIENE,77.8,9,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD130,CLEANLINESS_HYGIENE,80.0,10,60.0,62.5,53.84615384615385,13,False,BOTH_SOURCE_CONCERN
BOD131,CLEANLINESS_HYGIENE,65.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD150,CLEANLINESS_HYGIENE,65.0,20,100.0,69.2,,0,,GOOGLE_GENERAL_ONLY
BOD153,CLEANLINESS_HYGIENE,50.0,10,0.0,100.0,10.0,10,False,GOOGLE_GENERAL_ONLY
BOD161,CLEANLINESS_HYGIENE,100.0,10,90.0,0.0,64.28571428571429,28,False,BOTH_SOURCE_CONCERN
BOD168,CLEANLINESS_HYGIENE,21.1,19,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD002,FOOD_BEVERAGE,80.0,10,25.0,71.4,75.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD004,FOOD_BEVERAGE,60.0,10,60.0,50.0,75.0,12,False,BOTH_SOURCE_CONCERN
BOD006,FOOD_BEVERAGE,70.0,10,100.0,85.7,80.0,5,False,BOTH_SOURCE_CONCERN
BOD007,FOOD_BEVERAGE,63.8,58,25.0,73.0,48.27586206896552,29,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD010,FOOD_BEVERAGE,80.0,10,66.7,37.5,0.0,1,True,LOW_SUPPORT
BOD012,FOOD_BEVERAGE,80.0,10,28.6,87.5,75.0,4,True,LOW_SUPPORT
BOD016,FOOD_BEVERAGE,80.0,10,12.5,87.5,50.0,4,True,LOW_SUPPORT
BOD031,FOOD_BEVERAGE,77.8,9,42.9,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD032,FOOD_BEVERAGE,72.4,58,3.2,92.9,0.0,1,True,LOW_SUPPORT
BOD045,FOOD_BEVERAGE,78.1,64,26.9,78.0,71.42857142857143,7,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD051,FOOD_BEVERAGE,55.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD056,FOOD_BEVERAGE,16.7,36,16.7,100.0,50.0,2,True,LOW_SUPPORT
BOD058,FOOD_BEVERAGE,70.0,10,14.3,100.0,0.0,3,True,LOW_SUPPORT
BOD060,FOOD_BEVERAGE,64.9,77,12.0,94.0,0.0,1,True,LOW_SUPPORT
BOD061,FOOD_BEVERAGE,64.6,65,19.0,69.0,100.0,2,True,LOW_SUPPORT
BOD063,FOOD_BEVERAGE,93.3,30,25.0,64.3,0.0,1,True,LOW_SUPPORT
