hotel_id,hotel_name,area,property_category,google_rating,google_review_count,search_price_usd_snapshot,has_official_star_rating,has_price_snapshot
BOD115,Yasmin Bodrum Resort,Kadıkalesi,Otel,4.3,5589,446.0,False,True
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,Otel,4.4,361,91.0,False,True
BOD117,Altınkaya Hotel,Ortakent-Yahşi,Otel,4.6,77,164.0,False,True
BOD118,Amfora Hotel,Ortakent-Yahşi,Otel,4.1,86,,False,False
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,Otel,4.5,62,,False,False
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,Otel,4.3,258,110.0,False,True
BOD121,Eskiyalı Otel,Ortakent-Yahşi,Otel,4.5,130,,False,False
BOD122,Florida Otel,Ortakent-Yahşi,Otel,3.9,127,,False,False
BOD123,Hotel Marma Beach,Ortakent-Yahşi,Otel,4.2,112,,False,False
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,Otel,4.6,262,,False,False
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,Otel,4.3,1502,,False,False
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,Otel,4.5,452,168.0,False,True
BOD127,Kriss Hotel,Ortakent-Yahşi,Otel,4.2,490,114.0,False,True
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,Otel,4.6,723,308.0,False,True
BOD129,Meggs Bodrum,Ortakent-Yahşi,Otel,4.2,261,161.0,False,True
BOD130,Petunya Beach Resort,Ortakent-Yahşi,Otel,3.7,2687,,False,False
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,Otel,4.6,633,181.0,False,True
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,Otel,4.2,747,119.0,False,True
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,Otel,4.4,190,,False,False
BOD134,Yakamoz Otel,Ortakent-Yahşi,Otel,4.0,133,,False,False
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,Otel,3.9,114,105.0,False,True
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,Otel,4.5,467,130.0,False,True
BOD137,Armagan Apart Hotel,Torba,Otel,4.0,78,85.0,False,True
BOD138,Bodrum Blue Bay Otel,Torba,Otel,3.7,51,120.0,False,True
BOD139,Casa Dell'arte Otel,Torba,Otel,4.6,319,287.0,False,True
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,Resort Otel,4.4,2690,312.0,False,True
BOD141,DUJA BODRUM,Torba,Otel,4.4,5479,610.0,False,True
BOD142,Hotel Torbahan,Torba,Otel,4.2,492,125.0,False,True
BOD143,Hotel Zeytinada,Torba,Otel,4.4,372,248.0,False,True
BOD144,Mira Suites,Torba,Otel,4.6,117,98.0,False,True
BOD145,Moyo Luxury Hotel & Beach,Torba,Otel,4.3,370,,False,False
BOD146,Olivia Hotel,Torba,Otel,4.3,144,131.0,False,True
BOD147,Omar Hotel & Suites,Torba,Otel,4.3,174,97.0,False,True
BOD148,Rixos Premium Bodrum,Torba,Otel,4.7,4889,,False,False
BOD149,Roota Bodrum,Torba,Otel,4.2,56,172.0,False,True
BOD150,Samara Hotel,Torba,Otel,4.4,2488,284.0,False,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,Otel,4.2,648,223.0,False,True
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,Resort Otel,4.8,886,482.0,False,True
BOD153,The Oba Hotel,Torba,Otel,4.0,603,632.0,False,True
BOD154,Toka Bodrum Hotel & Beach Club,Torba,Otel,4.5,238,,False,False
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,Otel,4.3,312,,False,False
BOD156,Voyage Torba,Torba,Otel,4.7,2753,2660.0,False,True
BOD157,Voyage Torba Private,Torba,Otel,4.7,548,2489.0,False,True
BOD158,Arin Resort Bodrum,Turgutreis,Resort Otel,4.6,1691,,False,False
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,Otel,4.6,157,89.0,False,True
BOD160,La Blanche Resort Bodrum,Turgutreis,Otel,4.6,5754,391.0,False,True
BOD161,MyElla Hotel Resort & Spa,Turgutreis,Otel,3.9,2926,125.0,False,True
BOD162,Rammos Managed by Dedeman,Turgutreis,Otel,4.6,615,122.0,False,True
BOD163,Sundance Resort,Turgutreis,Otel,4.0,1344,66.0,False,True
BOD164,Swissôtel Resort Bodrum Sahili,Turgutreis,Otel,4.7,1608,304.0,False,True
BOD165,Caja by Maxx Royal,Türkbükü,Otel,4.6,135,3158.0,False,True
BOD166,Divan Bodrum,Türkbükü,Otel,4.5,753,590.0,False,True
BOD167,Elista Hotel & Spa,Türkbükü,Otel,4.6,231,263.0,False,True
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,Otel,4.3,983,446.0,False,True
BOD169,MACAKIZI BODRUM,Türkbükü,Otel,4.3,1247,805.0,False,True
BOD170,No:81 Hotel,Türkbükü,Otel,4.4,321,474.0,False,True
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,Otel,4.8,194,172.0,False,True
BOD172,Ailla Yalıkavak,Yalıkavak,Otel,4.9,69,473.0,False,True
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,Otel,4.8,528,610.0,False,True
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,Otel,4.5,299,318.0,False,True
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,Otel,4.5,437,341.0,False,True
BOD176,Blue Point Yalikavak,Yalıkavak,Otel,4.5,129,197.0,False,True
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,Otel,4.0,2444,365.0,False,True
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,Otel,4.3,387,341.0,False,True
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,Otel,4.3,121,135.0,False,True
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,Otel,4.6,649,427.0,False,True
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,Otel,4.3,261,173.0,False,True
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,Otel,4.2,41,414.0,False,True
BOD183,Ruins Luxury Resort,Yalıkavak,Otel,4.2,462,301.0,False,True
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,Otel,4.7,293,176.0,False,True
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,Otel,4.9,114,485.0,False,True
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,Otel,4.3,673,388.0,False,True
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,Otel,4.5,330,209.0,False,True
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,Otel,4.1,85,196.0,False,True
BOD189,The Bodrum EDITION,Yalıkavak,Otel,4.4,1016,841.0,False,True
BOD190,The Sign Highlight Hotel,Yalıkavak,Otel,4.3,125,289.0,False,True
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,Otel,4.8,267,832.0,False,True
BOD192,Yalıpark Beach Hotel,Yalıkavak,Otel,4.3,647,128.0,False,True
