hotel_id,master_hotel_name,area,detected_sikayetvar_hotel_name,mapping_status,confidence,source_url,page_accessible,visible_complaint_count,complaint_count,unique_complaint_count,matched_complaint_count,review_required_complaint_count,detail_nonempty_count,company_response_count,match_method,match_reason,manual_review_required,checked_at
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:30:21.377557+00:00
BOD034,Çınar Butik Otel Bodrum,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:30:30.331469+00:00
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,Azka Otel,NOT_FOUND,0.3937,https://www.sikayetvar.com/azka-otel,True,9.0,0,0,0,0,0,0,search_fallback,score=0.3937 name_sim=0.5625 bodrum=False area=False method=search_fallback,True,2026-08-25T12:30:43.792694+00:00
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Oscar Seaside Hotel & Spa Bodrum,REVIEW_REQUIRED,0.57,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,True,5.0,0,0,0,0,0,0,search_fallback,score=0.57 name_sim=0.6 bodrum=True area=False method=search_fallback,True,2026-08-25T12:31:01.509766+00:00
BOD037,Bodrum Bay Resort,Bodrum Merkez,Bodrum Bay Resort,PAGE_FOUND_NO_COMPLAINT,0.85,https://www.sikayetvar.com/bodrum-bay-resort,True,0.0,0,0,0,0,0,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,True,2026-08-25T12:31:07.267657+00:00
BOD038,Casa Mare Bodrum,Bodrum Merkez,Casa Mare Bodrum,FOUND_EXACT,0.85,https://www.sikayetvar.com/casa-mare-bodrum,True,1.0,1,1,1,0,1,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:31:11.020818+00:00
BOD039,Casa Nonna Bodrum,Bodrum Merkez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:31:18.101371+00:00
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,Diamond of Bodrum,REVIEW_REQUIRED,0.6885,https://www.sikayetvar.com/diamond-of-bodrum,True,10.0,0,0,0,0,0,0,slug_guess,score=0.6885 name_sim=0.7692 bodrum=True area=False method=slug_guess,True,2026-08-25T12:31:23.689275+00:00
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,La Quinta By Wyndham Bodrum,FOUND_EXACT,0.85,https://www.sikayetvar.com/la-quinta-by-wyndham-bodrum,True,5.0,5,5,5,0,5,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:31:27.403722+00:00
BOD042,Mandarin Resort Hotel,Bodrum Merkez,Mandarin Resort,REVIEW_REQUIRED,0.5833,https://www.sikayetvar.com/mandarin-resort,True,1.0,0,0,0,0,0,0,search_fallback,score=0.5833 name_sim=0.8333 bodrum=False area=False method=search_fallback,True,2026-08-25T12:31:38.525260+00:00
