hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD042,Mandarin Resort Hotel,Bodrum Merkez,REVIEW_REQUIRED,True,1,0,,,,,0,0,0,0,,0,,
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD044,Noa Suite Hotel,Bodrum Merkez,REVIEW_REQUIRED,True,7,0,,,,,0,0,0,0,,0,,
BOD045,Salmakis Resort & Spa,Bodrum Merkez,FOUND_EXACT,True,7,7,2024-09-09 14:09:00,2026-08-10 23:14:00,234.28571428571428,194.0,0,1,2,7,84.0,0,0.0,100.0
BOD046,Senses Hotel,Bodrum Merkez,REVIEW_REQUIRED,True,5,0,,,,,0,0,0,0,,0,,
BOD047,The Marmara Bodrum,Bodrum Merkez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD048,Babana Hotel,Göltürkbükü,REVIEW_REQUIRED,True,24,0,,,,,0,0,0,0,,0,,
BOD049,Casa Del Mar Bodrum,Göltürkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD052,Flamm Bodrum,Göltürkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD053,Gölköy Suites,Göltürkbükü,NOT_FOUND,True,0,0,,,,,0,0,0,0,,0,,
BOD054,Lavinya Maison,Göltürkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,FOUND_EXACT,True,2,2,2025-06-16 00:01:00,2026-06-24 00:27:00,131.5,131.5,0,0,0,2,210.0,0,0.0,100.0
BOD057,Selvi Bodrum,Göltürkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD058,Bodrum Beach Resort,Gümbet,FOUND_EXACT,True,3,3,2024-04-13 19:10:00,2024-04-13 19:10:00,137.0,137.0,0,2,3,1,1264.0,0,0.0,33.333333333333336
BOD059,Bodrum Hotel Baba,Gümbet,REVIEW_REQUIRED,True,4,0,,,,,0,0,0,0,,0,,
BOD060,Club Shark Hotel,Gümbet,FOUND_EXACT,True,1,1,2025-09-16 14:52:00,2025-09-16 14:52:00,67.0,67.0,0,0,0,1,145.0,0,0.0,100.0
BOD061,Gümbet Anıl Beach,Gümbet,FOUND_EXACT,True,2,2,2025-07-20 23:50:00,2025-07-20 23:50:00,208.5,208.5,0,0,0,1,998.0,0,0.0,50.0
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD063,Jasmin Beach Hotel,Gümbet,REVIEW_REQUIRED,True,1,0,,,,,0,0,0,0,,0,,
BOD064,Jasmin Elite Residence & Spa,Gümbet,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD065,Mirada Exclusive Bodrum,Gümbet,NOT_FOUND,True,13,0,,,,,0,0,0,0,,0,,
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,REVIEW_REQUIRED,True,16,0,,,,,0,0,0,0,,0,,
BOD067,Sami Beach Hotel,Gümbet,FOUND_EXACT,True,6,6,2024-09-05 15:22:00,2026-07-08 16:30:00,162.16666666666666,172.0,0,0,0,6,513.0,0,0.0,100.0
BOD068,Selectum Colours Bodrum,Gümbet,REVIEW_REQUIRED,True,14,8,2024-06-09 12:08:00,2026-08-21 14:54:00,159.375,140.0,0,0,0,8,263.0,6,0.0,100.0
BOD069,Siesta Beach Apart,Gümbet,FOUND_EXACT,True,1,1,2026-06-29 12:44:00,2026-06-29 12:44:00,134.0,134.0,0,1,1,1,43.0,0,0.0,100.0
BOD070,The Luvi Hotel,Gümbet,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD071,Tropicana Beach Hotel,Gümbet,NOT_FOUND,True,3,0,,,,,0,0,0,0,,0,,
BOD072,VERY CHIC BODRUM,Gümbet,FOUND_EXACT,True,3,3,2024-08-05 16:29:00,2026-07-17 12:59:00,108.33333333333333,125.0,0,1,1,3,1115.0,0,0.0,100.0
