hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD012,Selectum Collection Bodrum,4,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,NOISE,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,FAMILY_CHILDREN,1,25.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,MANAGEMENT_COMMUNICATION,3,75.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,SAFETY_SECURITY,1,25.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,STAFF_SERVICE,4,100.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,CLEANLINESS_HYGIENE,2,50.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,FOOD_BEVERAGE,2,50.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,ROOM,3,75.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,BEACH_SEA,2,50.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,POOL,2,50.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,FACILITIES_MAINTENANCE,1,25.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,RESERVATION,1,25.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,PAYMENT_REFUND,2,50.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,PRICE_VALUE,2,50.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,CHECKIN_CHECKOUT,1,25.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,NOISE,1,25.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,FAMILY_CHILDREN,1,25.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,MANAGEMENT_COMMUNICATION,3,75.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD016,Xanadu Island,4,SAFETY_SECURITY,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,STAFF_SERVICE,1,100.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,CLEANLINESS_HYGIENE,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,FOOD_BEVERAGE,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,ROOM,1,100.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,BEACH_SEA,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,POOL,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,FACILITIES_MAINTENANCE,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,RESERVATION,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,PAYMENT_REFUND,1,100.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,PRICE_VALUE,1,100.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,NOISE,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,FAMILY_CHILDREN,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,MANAGEMENT_COMMUNICATION,1,100.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD023,Doria Hotel Bodrum,1,SAFETY_SECURITY,1,100.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,STAFF_SERVICE,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,CLEANLINESS_HYGIENE,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,FOOD_BEVERAGE,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,ROOM,1,100.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,BEACH_SEA,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,POOL,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,FACILITIES_MAINTENANCE,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,RESERVATION,1,100.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,PAYMENT_REFUND,1,100.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,PRICE_VALUE,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
