hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label,hotel_name,area
BOD161,FAMILY_CHILDREN,30.0,10,100.0,0.0,32.142857142857146,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD077,CLEANLINESS_HYGIENE,75.0,20,100.0,20.0,28.571428571428573,7,False,BOTH_SOURCE_CONCERN,Ladonia Hotels Zemda,Gümüşlük
BOD113,POOL,18.2,11,50.0,0.0,28.571428571428573,7,False,BOTH_SOURCE_CONCERN,Kadıkale Resort,Kadıkalesi
BOD006,STAFF_SERVICE,60.0,10,16.7,100.0,100.0,5,False,GOOGLE_STRENGTH_VS_COMPLAINT,Club Marma Hotel,Akyarlar
BOD045,STAFF_SERVICE,65.6,64,43.8,76.2,100.0,7,False,GOOGLE_STRENGTH_VS_COMPLAINT,Salmakis Resort & Spa,Bodrum Merkez
BOD068,ROOM_COMFORT,88.9,9,25.0,75.0,88.88888888888889,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD045,ROOM_COMFORT,46.9,64,23.3,76.7,85.71428571428571,7,False,GOOGLE_STRENGTH_VS_COMPLAINT,Salmakis Resort & Spa,Bodrum Merkez
BOD002,STAFF_SERVICE,60.0,10,0.0,100.0,75.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT,Armonia Holiday Village & Spa,Akyarlar
BOD002,FOOD_BEVERAGE,80.0,10,25.0,71.4,75.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT,Armonia Holiday Village & Spa,Akyarlar
BOD045,FOOD_BEVERAGE,78.1,64,26.9,78.0,71.42857142857143,7,False,GOOGLE_STRENGTH_VS_COMPLAINT,Salmakis Resort & Spa,Bodrum Merkez
BOD067,STAFF_SERVICE,61.0,59,19.4,90.9,66.66666666666667,6,False,GOOGLE_STRENGTH_VS_COMPLAINT,Sami Beach Hotel,Gümbet
BOD068,STAFF_SERVICE,88.9,9,25.0,83.3,66.66666666666667,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD007,STAFF_SERVICE,67.2,58,47.6,71.8,65.51724137931035,29,False,GOOGLE_STRENGTH_VS_COMPLAINT,Kefaluka Resort,Akyarlar
BOD066,STAFF_SERVICE,80.0,10,25.0,75.0,61.11111111111112,18,False,GOOGLE_STRENGTH_VS_COMPLAINT,Royal Asarlik Beach Hotel & Spa,Gümbet
BOD153,ROOM_COMFORT,70.0,10,0.0,100.0,60.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT,The Oba Hotel,Torba
BOD153,PRICE_VALUE,40.0,10,0.0,75.0,60.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT,The Oba Hotel,Torba
BOD068,FOOD_BEVERAGE,100.0,9,25.0,77.8,55.55555555555556,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD002,MANAGEMENT_COMMUNICATION,20.0,10,0.0,100.0,50.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT,Armonia Holiday Village & Spa,Akyarlar
BOD067,CLEANLINESS_HYGIENE,44.1,59,33.3,73.1,50.0,6,False,GOOGLE_STRENGTH_VS_COMPLAINT,Sami Beach Hotel,Gümbet
BOD153,FOOD_BEVERAGE,80.0,10,0.0,100.0,50.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT,The Oba Hotel,Torba
BOD002,PRICE_VALUE,50.0,10,20.0,80.0,50.0,8,False,GOOGLE_STRENGTH_VS_COMPLAINT,Armonia Holiday Village & Spa,Akyarlar
BOD007,FOOD_BEVERAGE,63.8,58,25.0,73.0,48.27586206896552,29,False,GOOGLE_STRENGTH_VS_COMPLAINT,Kefaluka Resort,Akyarlar
BOD068,CLEANLINESS_HYGIENE,88.9,9,25.0,100.0,44.44444444444444,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD066,FOOD_BEVERAGE,80.0,10,12.5,83.3,44.44444444444444,18,False,GOOGLE_STRENGTH_VS_COMPLAINT,Royal Asarlik Beach Hotel & Spa,Gümbet
BOD066,ROOM_COMFORT,80.0,10,12.5,75.0,44.44444444444444,18,False,GOOGLE_STRENGTH_VS_COMPLAINT,Royal Asarlik Beach Hotel & Spa,Gümbet
BOD068,FACILITIES_MAINTENANCE,77.8,9,28.6,71.4,44.44444444444444,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD068,PRICE_VALUE,44.4,9,25.0,75.0,44.44444444444444,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD006,CLEANLINESS_HYGIENE,50.0,10,0.0,100.0,40.0,5,False,GOOGLE_STRENGTH_VS_COMPLAINT,Club Marma Hotel,Akyarlar
BOD108,FAMILY_CHILDREN,22.2,9,0.0,100.0,40.0,15,False,GOOGLE_STRENGTH_VS_COMPLAINT,Lujo Hotel Bodrum,Güvercinlik
BOD066,CLEANLINESS_HYGIENE,30.0,10,0.0,100.0,33.333333333333336,18,False,GOOGLE_STRENGTH_VS_COMPLAINT,Royal Asarlik Beach Hotel & Spa,Gümbet
BOD067,FOOD_BEVERAGE,66.1,59,33.3,71.8,33.333333333333336,6,False,GOOGLE_STRENGTH_VS_COMPLAINT,Sami Beach Hotel,Gümbet
BOD068,POOL,77.8,9,14.3,85.7,33.333333333333336,9,False,GOOGLE_STRENGTH_VS_COMPLAINT,Selectum Colours Bodrum,Gümbet
BOD108,BEACH_SEA,77.8,9,28.6,71.4,33.333333333333336,15,False,GOOGLE_STRENGTH_VS_COMPLAINT,Lujo Hotel Bodrum,Güvercinlik
BOD007,FAMILY_CHILDREN,48.3,58,10.7,78.6,31.03448275862069,29,False,GOOGLE_STRENGTH_VS_COMPLAINT,Kefaluka Resort,Akyarlar
BOD153,STAFF_SERVICE,90.0,10,0.0,100.0,30.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT,The Oba Hotel,Torba
BOD153,FAMILY_CHILDREN,60.0,10,0.0,83.3,30.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT,The Oba Hotel,Torba
