file_path,file_type,category,size_bytes,modified_at_local,row_count,column_count,columns,purpose
reports/sikayetvar_all_hotels_validation_summary.csv,csv,QUALITY,1010,2026-08-26T07:02:08.191665411,26.0,3.0,check|value|note,Other Sikayetvar-related repository asset
reports/sikayetvar_area_aspect_lift.csv,csv,ASPECT,24241,2026-08-26T07:02:08.191665411,198.0,11.0,area|area_n|aspect|aspect_count|aspect_mention_rate_pct|small_n_flag|mapping_coverage_pct|coverage_flag|overall_mention_rate_pct|area_mention_rate_pct|lift_pp,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_area_aspect_matrix.csv,csv,ASPECT,14564,2026-08-26T07:02:08.193902254,198.0,8.0,area|area_n|aspect|aspect_count|aspect_mention_rate_pct|small_n_flag|mapping_coverage_pct|coverage_flag,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_area_eda_summary.csv,csv,EDA,2045,2026-08-26T07:02:08.193902254,14.0,21.0,area|project_hotel_count|mapped_hotel_count|hotels_with_complaints|matched_complaint_count|company_response_count|median_word_count|median_view_count|mapping_status_AMBIGUOUS|mapping_status_FOUND_EXACT|mapping_status_FOUND_HIGH_CONFIDENCE|mapping_status_NOT_FOUND|mapping_status_PAGE_FOUND_NO_COMPLAINT|mapping_status_REVIEW_REQUIRED|complaint_share_pct|complaints_per_mapped_hotel|complaints_per_hotel_with_complaints|company_response_rate_in_corpus|mapping_coverage_pct|coverage_flag|small_n_flag,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_area_top_aspects.csv,csv,ASPECT,905,2026-08-26T07:02:08.194406271,8.0,8.0,area|area_n|top_aspect_1|top_aspect_1_rate_pct|top_aspect_2|top_aspect_2_rate_pct|top_aspect_3|top_aspect_3_rate_pct,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_cooccurrence.csv,csv,ASPECT,9319,2026-08-26T07:02:08.194406271,134.0,5.0,aspect_a|aspect_b|cooccurrence_count|cooccurrence_rate_pct|jaccard_similarity,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_coverage_summary.csv,csv,MAPPING,300,2026-08-26T07:02:08.195265532,8.0,2.0,metric|value,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_dictionary.csv,csv,ASPECT,23693,2026-08-26T07:02:08.195265532,206.0,7.0,aspect|keyword|keyword_type|source|document_count|included|notes,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_frequency.csv,csv,ASPECT,1530,2026-08-26T07:02:08.195770979,18.0,9.0,aspect|complaint_count|mention_rate_pct|unique_hotel_count|unique_area_count|company_response_count|company_response_rate_within_aspect|median_view_count|median_complaint_word_count,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_google_rating_correlations.csv,csv,CROSS_SOURCE,2619,2026-08-26T07:02:08.196289539,18.0,5.0,aspect|hotel_n|spearman_rho|p_value|main_caution,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_keyword_collisions.csv,csv,ASPECT,296,2026-08-26T07:02:08.196793556,2.0,7.0,aspect|keyword|keyword_type|source|document_count|included|notes,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_keyword_context_samples.csv,csv,ASPECT,8838,2026-08-26T07:02:08.196793556,31.0,5.0,keyword|complaint_id|hotel_name|context_preview|review_status,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_manual_validation_sample.csv,csv,QUALITY,28454,2026-08-26T07:02:08.196793556,40.0,7.0,complaint_id|hotel_name|complaint_text_preview|predicted_aspects|matched_keywords|manual_review_status|notes,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_aspect_response_summary.csv,csv,ASPECT,1934,2026-08-26T07:02:08.196793556,18.0,8.0,aspect|complaint_count|company_response_count|response_date_available_n|company_response_rate_within_aspect|median_response_time_days|q25_response_time_days|q75_response_time_days,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_audit_cleaning_key_findings.txt,txt,QUALITY,1085,2026-08-26T07:02:08.196793556,,,,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_audit_cleaning_limitations.txt,txt,QUALITY,746,2026-08-26T07:02:08.196793556,,,,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_clean_coverage_by_area.csv,csv,MAPPING,1046,2026-08-26T07:02:08.196793556,14.0,13.0,area|project_hotel_count|mapped_hotel_count|hotels_with_matched_complaints|matched_complaint_count|company_response_count|mapping_status_AMBIGUOUS|mapping_status_FOUND_EXACT|mapping_status_FOUND_HIGH_CONFIDENCE|mapping_status_NOT_FOUND|mapping_status_PAGE_FOUND_NO_COMPLAINT|mapping_status_REVIEW_REQUIRED|complaint_share_pct,Hotel/area coverage evidence
reports/sikayetvar_clean_coverage_by_hotel.csv,csv,MAPPING,18276,2026-08-26T07:02:08.198958874,192.0,19.0,hotel_id|hotel_name|area|mapping_status|page_accessible|visible_complaint_count|matched_complaint_count|first_complaint_date|last_complaint_date|avg_complaint_word_count|median_complaint_word_count|company_response_count|complaints_with_replies|total_reply_count|view_count_non_null|median_view_count|review_required_complaint_count|company_response_rate_in_corpus|view_count_coverage_pct,Hotel/area coverage evidence
reports/sikayetvar_cleaning_drop_log.csv,csv,QUALITY,3431,2026-08-26T07:02:08.199464083,12.0,5.0,complaint_id|canonical_complaint_url|reason|action|source_status,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_cleaning_summary.csv,csv,QUALITY,644,2026-08-26T07:02:08.199464083,21.0,2.0,metric|value,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_company_response_boilerplate.csv,csv,REPLY,290,2026-08-26T07:02:08.199464083,1.0,4.0,response_a_complaint_id|response_b_complaint_id|cosine_similarity|candidate_flag,Company/user reply coverage or response-behavior output
reports/sikayetvar_company_response_consistency.csv,csv,REPLY,194,2026-08-26T07:02:08.199464083,4.0,4.0,check|issue_count|share_pct|status,Company/user reply coverage or response-behavior output
reports/sikayetvar_company_response_terms.csv,csv,NLP,31881,2026-08-26T07:02:08.199464083,937.0,4.0,term|token_count|document_count|document_share_pct,Company/user reply coverage or response-behavior output
