hotel_id,place_id,hotel_name,area,source_url,detected_hotel_name,detected_address,mapping_status,name_similarity,page_accessible,review_panel_found,checked_at,mapping_note
BOD016,ChIJ_-zsV2kMvhQRgj8ZRcaPUXg,Xanadu Island,Akyarlar,https://www.google.com/maps/search/?api=1&query=Xanadu%20Island&query_place_id=ChIJ_-zsV2kMvhQRgj8ZRcaPUXg,,,,,,,,
BOD088,ChIJ5zcoSD9wvhQRD6Swln-iZ5Y,Baia Bodrum Hotel,Gündoğan,https://www.google.com/maps/search/?api=1&query=Baia%20Bodrum%20Hotel&query_place_id=ChIJ5zcoSD9wvhQRD6Swln-iZ5Y,,,,,,,,
BOD035,ChIJwW3ot1FsvhQR9l2PzmY0rzI,Azka Otel - Bardakçı Koyu,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=Azka%20Otel%20-%20Bardak%C3%A7%C4%B1%20Koyu&query_place_id=ChIJwW3ot1FsvhQR9l2PzmY0rzI,,,,,,,,
BOD065,ChIJk_7uUOZtvhQRslDfiDT6f6s,Mirada Exclusive Bodrum,Gümbet,https://www.google.com/maps/search/?api=1&query=Mirada%20Exclusive%20Bodrum&query_place_id=ChIJk_7uUOZtvhQRslDfiDT6f6s,,,,,,,,
BOD037,ChIJb6V7XlZsvhQRMLIIPP4BchI,Bodrum Bay Resort,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=Bodrum%20Bay%20Resort&query_place_id=ChIJb6V7XlZsvhQRMLIIPP4BchI,,,,,,,,
BOD041,ChIJg044KVZsvhQRr4Ud9rwcZYA,La Quinta by Wyndham Bodrum,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=La%20Quinta%20by%20Wyndham%20Bodrum&query_place_id=ChIJg044KVZsvhQRr4Ud9rwcZYA,,,,,,,,
BOD158,ChIJRzd_y8ALvhQRv5VZVOHqljU,Arin Resort Bodrum,Turgutreis,https://www.google.com/maps/search/?api=1&query=Arin%20Resort%20Bodrum&query_place_id=ChIJRzd_y8ALvhQRv5VZVOHqljU,,,,,,,,
BOD058,ChIJxxkyuVJsvhQR6fKf-R5FXrc,Bodrum Beach Resort,Gümbet,https://www.google.com/maps/search/?api=1&query=Bodrum%20Beach%20Resort&query_place_id=ChIJxxkyuVJsvhQR6fKf-R5FXrc,,,,,,,,
BOD072,ChIJkXZdS0BsvhQR2B_lTbvKswM,VERY CHIC BODRUM,Gümbet,https://www.google.com/maps/search/?api=1&query=VERY%20CHIC%20BODRUM&query_place_id=ChIJkXZdS0BsvhQR2B_lTbvKswM,,,,,,,,
BOD013,ChIJgRdtyF8MvhQRcyrv7KcB-qA,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,https://www.google.com/maps/search/?api=1&query=Sentido%20Bellazure%20-%20Akyarlar%2C%20Bodrum%20/%20Turkey&query_place_id=ChIJgRdtyF8MvhQRcyrv7KcB-qA,,,,,,,,
BOD042,ChIJPxuR8hFsvhQRlxMn8dN2TlI,Mandarin Resort Hotel,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=Mandarin%20Resort%20Hotel&query_place_id=ChIJPxuR8hFsvhQRlxMn8dN2TlI,,,,,,,,
BOD164,ChIJ26veg4ILvhQR1JYSvVp6xwM,Swissôtel Resort Bodrum Sahili,Turgutreis,https://www.google.com/maps/search/?api=1&query=Swiss%C3%B4tel%20Resort%20Bodrum%20Sahili&query_place_id=ChIJ26veg4ILvhQR1JYSvVp6xwM,,,,,,,,
BOD043,ChIJqVpIA2JtvhQRHEuqj5n7bz8,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=METT%20Hotel%20%26%20Beach%20Resort%20Bodrum&query_place_id=ChIJqVpIA2JtvhQRHEuqj5n7bz8,,,,,,,,
BOD125,ChIJN39o0JVyvhQRrcJWBvaq1QY,Kefi Beach Bodrum,Ortakent-Yahşi,https://www.google.com/maps/search/?api=1&query=Kefi%20Beach%20Bodrum&query_place_id=ChIJN39o0JVyvhQRrcJWBvaq1QY,,,,,,,,
BOD061,ChIJi1RysUtsvhQReySSwLnKb6U,Gümbet Anıl Beach,Gümbet,https://www.google.com/maps/search/?api=1&query=G%C3%BCmbet%20An%C4%B1l%20Beach&query_place_id=ChIJi1RysUtsvhQReySSwLnKb6U,,,,,,,,
BOD006,ChIJ8ShlrJkNvhQR0AEjC-bO7mY,Club Marma Hotel,Akyarlar,https://www.google.com/maps/search/?api=1&query=Club%20Marma%20Hotel&query_place_id=ChIJ8ShlrJkNvhQR0AEjC-bO7mY,,,,,,,,
BOD089,ChIJbVCWxj9wvhQRHejA2QkcIgM,Cape Bodrum Luxury Hotel & Beach,Gündoğan,https://www.google.com/maps/search/?api=1&query=Cape%20Bodrum%20Luxury%20Hotel%20%26%20Beach&query_place_id=ChIJbVCWxj9wvhQRHejA2QkcIgM,,,,,,,,
BOD163,ChIJ5VcB4U0LvhQROU2PptPl_WE,Sundance Resort,Turgutreis,https://www.google.com/maps/search/?api=1&query=Sundance%20Resort&query_place_id=ChIJ5VcB4U0LvhQROU2PptPl_WE,,,,,,,,
BOD017,ChIJf4088JVyvhQRxeHFgoSXn4s,Ambrosia Otel Beach & Spa,Bitez,https://www.google.com/maps/search/?api=1&query=Ambrosia%20Otel%20Beach%20%26%20Spa&query_place_id=ChIJf4088JVyvhQRxeHFgoSXn4s,,,,,,,,
BOD104,ChIJI59jNQxdvhQR6UAwxjuwZEI,Greenport Bodrum,Güvercinlik,https://www.google.com/maps/search/?api=1&query=Greenport%20Bodrum&query_place_id=ChIJI59jNQxdvhQR6UAwxjuwZEI,Greenport Bodrum,"Güvercinlik, Güvercinlik Blv no:90/1, 48450 Bodrum/Muğla",FOUND_EXACT_PLACE_ID,1.0,True,False,2026-08-25T15:50:00+00:00,place_id-bound master URL and visible hotel name checked; public anonymous reviews tab not available
BOD169,ChIJybTpQuxvvhQRvHMQvLA1YMk,MACAKIZI BODRUM,Türkbükü,https://www.google.com/maps/search/?api=1&query=MACAKIZI%20BODRUM&query_place_id=ChIJybTpQuxvvhQRvHMQvLA1YMk,,,,,,,,
BOD070,ChIJHcO2oKhtvhQR0DTiondx6MU,The Luvi Hotel,Gümbet,https://www.google.com/maps/search/?api=1&query=The%20Luvi%20Hotel&query_place_id=ChIJHcO2oKhtvhQR0DTiondx6MU,,,,,,,,
BOD032,ChIJ6Wqm-Z9tvhQRpt55tZ1NK5c,Paloma Family Club Bitez,Bitez,https://www.google.com/maps/search/?api=1&query=Paloma%20Family%20Club%20Bitez&query_place_id=ChIJ6Wqm-Z9tvhQRpt55tZ1NK5c,,,,,,,,
BOD060,ChIJjfpFULBtvhQRmWBxrJ_BUrk,Club Shark Hotel,Gümbet,https://www.google.com/maps/search/?api=1&query=Club%20Shark%20Hotel&query_place_id=ChIJjfpFULBtvhQRmWBxrJ_BUrk,,,,,,,,
BOD036,ChIJGdWqDm5svhQRoL1G8LyU33U,Bodrium Hotel & SPA,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=Bodrium%20Hotel%20%26%20SPA&query_place_id=ChIJGdWqDm5svhQRoL1G8LyU33U,,,,,,,,
BOD046,ChIJLcWrMBdtvhQRNeCOGk70ZYE,Senses Hotel,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=Senses%20Hotel&query_place_id=ChIJLcWrMBdtvhQRNeCOGk70ZYE,,,,,,,,
BOD189,ChIJzZ-AXwhxvhQRIcUswS4ooeI,The Bodrum EDITION,Yalıkavak,https://www.google.com/maps/search/?api=1&query=The%20Bodrum%20EDITION&query_place_id=ChIJzZ-AXwhxvhQRIcUswS4ooeI,,,,,,,,
BOD047,ChIJB_Y3_BBsvhQRK4aYUqtoLGI,The Marmara Bodrum,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=The%20Marmara%20Bodrum&query_place_id=ChIJB_Y3_BBsvhQRK4aYUqtoLGI,,,,,,,,
BOD168,ChIJIzcNzrdvvhQRubhhrYtOPbo,Kuum Hotel & SPA Bodrum,Türkbükü,https://www.google.com/maps/search/?api=1&query=Kuum%20Hotel%20%26%20SPA%20Bodrum&query_place_id=ChIJIzcNzrdvvhQRubhhrYtOPbo,,,,,,,,
BOD030,ChIJZat9EHVtvhQR_YVjYQPaSPY,Natur Garden Hotel Bitez Bodrum,Bitez,https://www.google.com/maps/search/?api=1&query=Natur%20Garden%20Hotel%20Bitez%20Bodrum&query_place_id=ChIJZat9EHVtvhQR_YVjYQPaSPY,,,,,,,,
BOD020,ChIJybxupHVtvhQRKBpK_CDad1Q,Bitez Risa Hotel,Bitez,https://www.google.com/maps/search/?api=1&query=Bitez%20Risa%20Hotel&query_place_id=ChIJybxupHVtvhQRKBpK_CDad1Q,,,,,,,,
BOD021,ChIJf3a3w55tvhQR0pFtmdOTw2Q,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,https://www.google.com/maps/search/?api=1&query=Caresse%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Bodrum&query_place_id=ChIJf3a3w55tvhQR0pFtmdOTw2Q,,,,,,,,
BOD152,ChIJr-wURTNpvhQRgfqUtlooL3o,"Susona Bodrum, LXR Hotels & Resorts",Torba,https://www.google.com/maps/search/?api=1&query=Susona%20Bodrum%2C%20LXR%20Hotels%20%26%20Resorts&query_place_id=ChIJr-wURTNpvhQRgfqUtlooL3o,,,,,,,,
BOD026,ChIJARY9WHRtvhQRelTaH2laRj0,Manuela Otel Bitez,Bitez,https://www.google.com/maps/search/?api=1&query=Manuela%20Otel%20Bitez&query_place_id=ChIJARY9WHRtvhQRelTaH2laRj0,,,,,,,,
BOD033,ChIJoSspwEFsvhQRf9PM8XwZzmc,Ramada Resort by Wyndham Bodrum,Bitez,https://www.google.com/maps/search/?api=1&query=Ramada%20Resort%20by%20Wyndham%20Bodrum&query_place_id=ChIJoSspwEFsvhQRf9PM8XwZzmc,,,,,,,,
BOD107,ChIJUcYp3yhnvhQRjQlF4F9hnUU,Le Méridien Bodrum Beach Resort,Güvercinlik,https://www.google.com/maps/search/?api=1&query=Le%20M%C3%A9ridien%20Bodrum%20Beach%20Resort&query_place_id=ChIJUcYp3yhnvhQRjQlF4F9hnUU,,,,,,,,
BOD109,ChIJdYbrTSRdvhQRh7vm5iS1GZU,Oscar Seaside Hotel & Spa,Güvercinlik,https://www.google.com/maps/search/?api=1&query=Oscar%20Seaside%20Hotel%20%26%20Spa&query_place_id=ChIJdYbrTSRdvhQRh7vm5iS1GZU,,,,,,,,
BOD023,ChIJi1RysUtsvhQR-Vso6pE_bpE,Doria Hotel Bodrum,Bitez,https://www.google.com/maps/search/?api=1&query=Doria%20Hotel%20Bodrum&query_place_id=ChIJi1RysUtsvhQR-Vso6pE_bpE,,,,,,,,
BOD052,ChIJLbUXL7pvvhQRHM5GVHR2Rg0,Flamm Bodrum,Göltürkbükü,https://www.google.com/maps/search/?api=1&query=Flamm%20Bodrum&query_place_id=ChIJLbUXL7pvvhQRHM5GVHR2Rg0,,,,,,,,
BOD166,ChIJs8PYiA9pvhQRk_cQYHnH5Us,Divan Bodrum,Türkbükü,https://www.google.com/maps/search/?api=1&query=Divan%20Bodrum&query_place_id=ChIJs8PYiA9pvhQRk_cQYHnH5Us,,,,,,,,
BOD132,ChIJmZx5TEBsvhQROxPKGjWkMWw,Viras Hotel & Beach,Ortakent-Yahşi,https://www.google.com/maps/search/?api=1&query=Viras%20Hotel%20%26%20Beach&query_place_id=ChIJmZx5TEBsvhQROxPKGjWkMWw,,,,,,,,
BOD014,ChIJXzre1TQNvhQR-TaHvRN7lT4,Suum Bodrum Hotel & Beach,Akyarlar,https://www.google.com/maps/search/?api=1&query=Suum%20Bodrum%20Hotel%20%26%20Beach&query_place_id=ChIJXzre1TQNvhQR-TaHvRN7lT4,,,,,,,,
BOD128,ChIJj7BWRJdyvhQR4Mm_-tWZXN4,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,https://www.google.com/maps/search/?api=1&query=Lugga%20Boutique%20Hotel%20%26%20Beach&query_place_id=ChIJj7BWRJdyvhQR4Mm_-tWZXN4,,,,,,,,
BOD090,ChIJi3_p9zhwvhQRGBCSxo0tZ34,Costa Farilya Special Class Hotel Bodrum,Gündoğan,https://www.google.com/maps/search/?api=1&query=Costa%20Farilya%20Special%20Class%20Hotel%20Bodrum&query_place_id=ChIJi3_p9zhwvhQRGBCSxo0tZ34,,,,,,,,
BOD186,ChIJ18lqtxJ0vhQRqcNO73L6RPs,Sirene Luxury Hotel Bodrum,Yalıkavak,https://www.google.com/maps/search/?api=1&query=Sirene%20Luxury%20Hotel%20Bodrum&query_place_id=ChIJ18lqtxJ0vhQRqcNO73L6RPs,,,,,,,,
BOD180,ChIJ6d0IfpdxvhQR0QaNuaLErhA,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,https://www.google.com/maps/search/?api=1&query=MGallery%20The%20Bodrum%20Hotel%20Yal%C4%B1kavak&query_place_id=ChIJ6d0IfpdxvhQR0QaNuaLErhA,,,,,,,,
BOD151,ChIJEW5x_uZovhQRHzOfnTJr5NE,Sarpedor Boutique Hotel & SPA,Torba,https://www.google.com/maps/search/?api=1&query=Sarpedor%20Boutique%20Hotel%20%26%20SPA&query_place_id=ChIJEW5x_uZovhQRHzOfnTJr5NE,,,,,,,,
BOD192,ChIJSQqN3GlxvhQRvBpAaSr4tEo,Yalıpark Beach Hotel,Yalıkavak,https://www.google.com/maps/search/?api=1&query=Yal%C4%B1park%20Beach%20Hotel&query_place_id=ChIJSQqN3GlxvhQRvBpAaSr4tEo,,,,,,,,
BOD131,ChIJtQfd4BRzvhQRrZlYgS1RXww,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,https://www.google.com/maps/search/?api=1&query=Regia%20Mare%20Beach%20Hotel%20Bodrum&query_place_id=ChIJtQfd4BRzvhQRrZlYgS1RXww,,,,,,,,
BOD162,ChIJ8wH_8aALvhQRFJB5ItnnBjM,Rammos Managed by Dedeman,Turgutreis,https://www.google.com/maps/search/?api=1&query=Rammos%20Managed%20by%20Dedeman&query_place_id=ChIJ8wH_8aALvhQRFJB5ItnnBjM,,,,,,,,
BOD087,ChIJGcaQbud1vhQRPsL_-lbJVmY,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,https://www.google.com/maps/search/?api=1&query=Wanderheaven%20Camping%20%26%20Tiny%20House%20Bodrum&query_place_id=ChIJGcaQbud1vhQRPsL_-lbJVmY,,,,,,,,
BOD095,ChIJI4lKTR9wvhQRxyiXIaGKQV4,Mivara Luxury Bodrum,Gündoğan,https://www.google.com/maps/search/?api=1&query=Mivara%20Luxury%20Bodrum&query_place_id=ChIJI4lKTR9wvhQRxyiXIaGKQV4,,,,,,,,
BOD153,ChIJh70QKnFpvhQRwAvW_pctIFM,The Oba Hotel,Torba,https://www.google.com/maps/search/?api=1&query=The%20Oba%20Hotel&query_place_id=ChIJh70QKnFpvhQRwAvW_pctIFM,,,,,,,,
BOD064,ChIJAQ-IIVNsvhQRAQriNOcd5wA,Jasmin Elite Residence & Spa,Gümbet,https://www.google.com/maps/search/?api=1&query=Jasmin%20Elite%20Residence%20%26%20Spa&query_place_id=ChIJAQ-IIVNsvhQRAQriNOcd5wA,,,,,,,,
BOD050,ChIJoZNUrrlvvhQRtKmU1DNfnzk,Daphnis Hotel Gölköy,Göltürkbükü,https://www.google.com/maps/search/?api=1&query=Daphnis%20Hotel%20G%C3%B6lk%C3%B6y&query_place_id=ChIJoZNUrrlvvhQRtKmU1DNfnzk,,,,,,,,
BOD057,ChIJD7WKCLtvvhQRwXRKD3S2iQw,Selvi Bodrum,Göltürkbükü,https://www.google.com/maps/search/?api=1&query=Selvi%20Bodrum&query_place_id=ChIJD7WKCLtvvhQRwXRKD3S2iQw,,,,,,,,
BOD112,ChIJub2Eesh1vhQRbe44B-Hl_VY,Azure By Yelken Hotel,Kadıkalesi,https://www.google.com/maps/search/?api=1&query=Azure%20By%20Yelken%20Hotel&query_place_id=ChIJub2Eesh1vhQRbe44B-Hl_VY,,,,,,,,
BOD157,ChIJDU1Xay1pvhQRIqEA-RSZU-Y,Voyage Torba Private,Torba,https://www.google.com/maps/search/?api=1&query=Voyage%20Torba%20Private&query_place_id=ChIJDU1Xay1pvhQRIqEA-RSZU-Y,,,,,,,,
BOD009,ChIJAYOGrEwNvhQRJyQb3JRrwh4,LİV OTEL,Akyarlar,https://www.google.com/maps/search/?api=1&query=L%C4%B0V%20OTEL&query_place_id=ChIJAYOGrEwNvhQRJyQb3JRrwh4,,,,,,,,
BOD173,ChIJd1cFeFVxvhQRtZewAJ8VspU,Allium Bodrum Resort & Spa,Yalıkavak,https://www.google.com/maps/search/?api=1&query=Allium%20Bodrum%20Resort%20%26%20Spa&query_place_id=ChIJd1cFeFVxvhQRtZewAJ8VspU,,,,,,,,
BOD069,ChIJR_ba3VJsvhQRapanF-L0dwo,Siesta Beach Apart,Gümbet,https://www.google.com/maps/search/?api=1&query=Siesta%20Beach%20Apart&query_place_id=ChIJR_ba3VJsvhQRapanF-L0dwo,,,,,,,,
BOD142,ChIJIeqJV9NuvhQRXxPW2X0FhM0,Hotel Torbahan,Torba,https://www.google.com/maps/search/?api=1&query=Hotel%20Torbahan&query_place_id=ChIJIeqJV9NuvhQRXxPW2X0FhM0,,,,,,,,
BOD127,ChIJfyV0XJtyvhQRU-vFpM2VC0c,Kriss Hotel,Ortakent-Yahşi,https://www.google.com/maps/search/?api=1&query=Kriss%20Hotel&query_place_id=ChIJfyV0XJtyvhQRU-vFpM2VC0c,,,,,,,,
BOD075,ChIJiV_oOwsNvhQRUZiyhoOACos,Benjamin Otel,Gümüşlük,https://www.google.com/maps/search/?api=1&query=Benjamin%20Otel&query_place_id=ChIJiV_oOwsNvhQRUZiyhoOACos,,,,,,,,
BOD086,ChIJcYplw0R0vhQRzWpJ3M601Qw,Vega Aparts,Gümüşlük,https://www.google.com/maps/search/?api=1&query=Vega%20Aparts&query_place_id=ChIJcYplw0R0vhQRzWpJ3M601Qw,,,,,,,,
