hotel_id,hotel_name,area,mapping_status,page_accessible,total_google_review_count_master,reviews_collected,reviews_with_text,rating_1_n,rating_2_n,rating_3_n,rating_4_n,rating_5_n,low_n,mixed_n,high_n,target_cap,target_reached,blocked,error_type,last_checkpoint,collection_completed_at
BOD057,Selvi Bodrum,Göltürkbükü,,,584,,,,,,,,,,,75,,,,,
BOD112,Azure By Yelken Hotel,Kadıkalesi,,,565,,,,,,,,,,,75,,,,,
BOD157,Voyage Torba Private,Torba,,,548,,,,,,,,,,,75,,,,,
BOD009,LİV OTEL,Akyarlar,,,546,,,,,,,,,,,75,,,,,
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,,,528,,,,,,,,,,,75,,,,,
BOD069,Siesta Beach Apart,Gümbet,,,502,,,,,,,,,,,75,,,,,
BOD142,Hotel Torbahan,Torba,,,492,,,,,,,,,,,75,,,,,
BOD127,Kriss Hotel,Ortakent-Yahşi,,,490,,,,,,,,,,,75,,,,,
BOD075,Benjamin Otel,Gümüşlük,,,487,,,,,,,,,,,75,,,,,
BOD086,Vega Aparts,Gümüşlük,,,486,,,,,,,,,,,75,,,,,
BOD031,Okaliptus Otel,Bitez,,,474,,,,,,,,,,,75,,,,,
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,,,467,,,,,,,,,,,75,,,,,
BOD059,Bodrum Hotel Baba,Gümbet,FOUND_EXACT_PLACE_ID,True,465,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:06+00:00,2026-08-25T15:50:06+00:00
BOD183,Ruins Luxury Resort,Yalıkavak,,,462,,,,,,,,,,,75,,,,,
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,,,452,,,,,,,,,,,75,,,,,
BOD082,Otel Gümüşlük,Gümüşlük,,,442,,,,,,,,,,,75,,,,,
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,,,437,,,,,,,,,,,75,,,,,
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,,,424,,,,,,,,,,,75,,,,,
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,,,411,,,,,,,,,,,75,,,,,
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,,,387,,,,,,,,,,,75,,,,,
BOD077,Ladonia Hotels Zemda,Gümüşlük,,,376,,,,,,,,,,,75,,,,,
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,,,373,,,,,,,,,,,75,,,,,
BOD111,Zena Hotel Bodrum,Güvercinlik,,,373,,,,,,,,,,,75,,,,,
BOD143,Hotel Zeytinada,Torba,,,372,,,,,,,,,,,75,,,,,
BOD098,Swissôtel Living Bodrum,Gündoğan,,,371,,,,,,,,,,,75,,,,,
BOD145,Moyo Luxury Hotel & Beach,Torba,,,370,,,,,,,,,,,75,,,,,
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,,,365,,,,,,,,,,,75,,,,,
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,,,362,,,,,,,,,,,75,,,,,
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,,,361,,,,,,,,,,,75,,,,,
BOD102,Akyalı Butik Hotel,Güvercinlik,,,353,,,,,,,,,,,75,,,,,
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,,,330,,,,,,,,,,,75,,,,,
BOD170,No:81 Hotel,Türkbükü,,,321,,,,,,,,,,,75,,,,,
BOD139,Casa Dell'arte Otel,Torba,,,319,,,,,,,,,,,75,,,,,
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,,,312,,,,,,,,,,,75,,,,,
BOD024,HAKAN OTEL,Bitez,,,311,,,,,,,,,,,75,,,,,
BOD092,Liona Hotel,Gündoğan,,,307,,,,,,,,,,,75,,,,,
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,,,299,,,,,,,,,,,75,,,,,
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,,,293,,,,,,,,,,,75,,,,,
BOD010,Mare Garden Hotel,Akyarlar,,,288,,,,,,,,,,,75,,,,,
BOD071,Tropicana Beach Hotel,Gümbet,,,281,,,,,,,,,,,75,,,,,
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,,,276,,,,,,,,,,,75,,,,,
BOD038,Casa Mare Bodrum,Bodrum Merkez,,,274,,,,,,,,,,,75,,,,,
BOD028,Mira Beach Resort Bodrum,Bitez,,,274,,,,,,,,,,,75,,,,,
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,,,267,,,,,,,,,,,75,,,,,
BOD049,Casa Del Mar Bodrum,Göltürkbükü,,,263,,,,,,,,,,,75,,,,,
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,,,262,,,,,,,,,,,75,,,,,
BOD129,Meggs Bodrum,Ortakent-Yahşi,,,261,,,,,,,,,,,75,,,,,
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,,,261,,,,,,,,,,,75,,,,,
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,,,258,,,,,,,,,,,75,,,,,
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,,,246,,,,,,,,,,,75,,,,,
BOD100,Villa Rustica Hotel,Gündoğan,,,243,,,,,,,,,,,75,,,,,
BOD039,Casa Nonna Bodrum,Bodrum Merkez,,,238,,,,,,,,,,,75,,,,,
BOD154,Toka Bodrum Hotel & Beach Club,Torba,,,238,,,,,,,,,,,75,,,,,
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,,,237,,,,,,,,,,,75,,,,,
BOD167,Elista Hotel & Spa,Türkbükü,,,231,,,,,,,,,,,75,,,,,
BOD034,Çınar Butik Otel Bodrum,Bitez,,,226,,,,,,,,,,,75,,,,,
BOD048,Babana Hotel,Göltürkbükü,,,221,,,,,,,,,,,75,,,,,
BOD105,İsolina Hotel,Güvercinlik,,,221,,,,,,,,,,,75,,,,,
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,,,219,,,,,,,,,,,75,,,,,
BOD022,Dolce Vita Luxury Bungalows,Bitez,,,214,,,,,,,,,,,75,,,,,
BOD053,Gölköy Suites,Göltürkbükü,FOUND_EXACT_PLACE_ID,True,212,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:10+00:00,2026-08-25T15:50:10+00:00
BOD005,ByAkkan,Akyarlar,,,203,,,,,,,,,,,75,,,,,
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,,,201,,,,,,,,,,,75,,,,,
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,,,194,,,,,,,,,,,75,,,,,
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,,,190,,,,,,,,,,,75,,,,,
BOD147,Omar Hotel & Suites,Torba,,,174,,,,,,,,,,,75,,,,,
BOD080,Myndos Oda & kahvalti,Gümüşlük,,,171,,,,,,,,,,,75,,,,,
BOD099,Villa Oliva Butik Otel,Gündoğan,,,168,,,,,,,,,,,75,,,,,
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,,,157,,,,,,,,,,,75,,,,,
BOD096,Olira Boutique Hotel&SPA,Gündoğan,,,149,,,,,,,,,,,75,,,,,
