hotel_id,hotel_name,area,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,FAMILY_CHILDREN,0,0.0,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,TRANSPORT_TRANSFER,0,0.0,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,MANAGEMENT_COMMUNICATION,11,84.61538461538461,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,SPA_WELLNESS,1,7.6923076923076925,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,SAFETY_SECURITY,3,23.076923076923077,False
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,STAFF_SERVICE,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,CLEANLINESS_HYGIENE,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,FOOD_BEVERAGE,1,50.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,ROOM,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,BEACH_SEA,1,50.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,POOL,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,FACILITIES_MAINTENANCE,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,RESERVATION,2,100.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,PAYMENT_REFUND,2,100.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,PRICE_VALUE,2,100.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,CHECKIN_CHECKOUT,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,AIR_CONDITIONING,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,NOISE,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,FAMILY_CHILDREN,0,0.0,True
