hotel_id,hotel_name,area,detected_sikayetvar_hotel_name,source_url,mapping_status,confidence,page_accessible,visible_complaint_count,checked_at,complaint_count,unique_complaint_count,detail_nonempty_count,company_response_count,matched_complaint_count,review_required_complaint_count,checked_on_sikayetvar,valid_page,hotels_with_complaints,hotels_with_zero_complaints,not_found,review_required,wrong_entity,unprocessed
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:37:03.050158+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:37:13.849692+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD080,Myndos Oda & kahvalti,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:37:24.550685+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,Golden Age Crystal Bodrum,https://www.sikayetvar.com/golden-age-crystal-bodrum,REVIEW_REQUIRED,0.43,True,8.0,2026-08-25T12:37:30.026821+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD082,Otel Gümüşlük,Gümüşlük,Gümüşlük,https://www.sikayetvar.com/gumusluk,REVIEW_REQUIRED,0.6833,True,0.0,2026-08-25T12:37:35.684821+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD083,Oza butik hotel,Gümüşlük,Aroma Butik Hotel,https://www.sikayetvar.com/aroma-butik-hotel,REVIEW_REQUIRED,0.6125,True,2.0,2026-08-25T12:37:56.046008+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD084,Paradise Garden Apartments,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:38:04.966228+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD085,Paradise Gümüşlük,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:38:12.114562+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD086,Vega Aparts,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:38:21.160824+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:38:30.854463+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
