complaint_id,hotel_id,hotel_name,area,company_response_exists_clean,complaint_date,google_rating,google_review_count,aspect,matched,matched_keywords
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,RESERVATION,True,tatilbudur
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,PAYMENT_REFUND,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,PRICE_VALUE,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,CHECKIN_CHECKOUT,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,AIR_CONDITIONING,True,klima
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,NOISE,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,FAMILY_CHILDREN,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,TRANSPORT_TRANSFER,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,MANAGEMENT_COMMUNICATION,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,SPA_WELLNESS,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,SAFETY_SECURITY,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,STAFF_SERVICE,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,CLEANLINESS_HYGIENE,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,FOOD_BEVERAGE,False,
