hotel_id,hotel_name,area,complaint_n,aspect_AIR_CONDITIONING_mention_rate_pct,aspect_BEACH_SEA_mention_rate_pct,aspect_CHECKIN_CHECKOUT_mention_rate_pct,aspect_CLEANLINESS_HYGIENE_mention_rate_pct,aspect_FACILITIES_MAINTENANCE_mention_rate_pct,aspect_FAMILY_CHILDREN_mention_rate_pct,aspect_FOOD_BEVERAGE_mention_rate_pct,aspect_MANAGEMENT_COMMUNICATION_mention_rate_pct,aspect_NOISE_mention_rate_pct,aspect_PAYMENT_REFUND_mention_rate_pct,aspect_POOL_mention_rate_pct,aspect_PRICE_VALUE_mention_rate_pct,aspect_RESERVATION_mention_rate_pct,aspect_ROOM_mention_rate_pct,aspect_SAFETY_SECURITY_mention_rate_pct,aspect_SPA_WELLNESS_mention_rate_pct,aspect_STAFF_SERVICE_mention_rate_pct,aspect_TRANSPORT_TRANSFER_mention_rate_pct,company_response_rate_in_corpus,median_response_time_days,median_complaint_word_count,median_view_count,google_rating,google_review_count,official_star_rating_verified,official_room_count,nlp_sample_tier,nlp_feature_reliability,small_n_flag
BOD072,VERY CHIC BODRUM,Gümbet,3,0.0,33.333333333333336,0.0,33.333333333333336,66.66666666666667,0.0,66.66666666666667,33.333333333333336,0.0,33.333333333333336,0.0,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.66666666666667,0.0,0.0,,125.0,1115.0,4.2,1670,5.0,149.0,LOW_SAMPLE,LOW,True
BOD058,Bodrum Beach Resort,Gümbet,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,66.66666666666667,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.0,0.0,33.333333333333336,0.0,,137.0,1264.0,3.7,1678,4.0,164.0,LOW_SAMPLE,LOW,True
BOD061,Gümbet Anıl Beach,Gümbet,2,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,50.0,50.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,0.0,,208.5,998.0,4.3,1489,,,LOW_SAMPLE,LOW,True
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,2,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,100.0,0.0,0.0,,131.5,210.0,4.7,2728,5.0,120.0,LOW_SAMPLE,LOW,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,0.0,0.0,0.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,0.0,50.0,50.0,100.0,0.0,0.0,100.0,0.0,0.0,,149.0,309.0,4.3,258,,,LOW_SAMPLE,LOW,True
BOD010,Mare Garden Hotel,Akyarlar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,254.0,4.2,288,,,LOW_SAMPLE,LOW,True
BOD158,Arin Resort Bodrum,Turgutreis,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,,146.0,878.0,4.6,1691,,,LOW_SAMPLE,LOW,True
BOD038,Casa Mare Bodrum,Bodrum Merkez,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,68.0,73.0,4.0,274,,,LOW_SAMPLE,LOW,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,227.0,49.0,4.6,262,,,LOW_SAMPLE,LOW,True
BOD023,Doria Hotel Bodrum,Bitez,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,,161.0,111.0,4.4,774,5.0,92.0,LOW_SAMPLE,LOW,True
BOD060,Club Shark Hotel,Gümbet,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.0,145.0,4.2,1124,4.0,105.0,LOW_SAMPLE,LOW,True
BOD069,Siesta Beach Apart,Gümbet,1,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,,134.0,43.0,3.4,502,,,LOW_SAMPLE,LOW,True
