hotel_id,hotel_name,area,search_query,candidate_company_name,candidate_url,candidate_slug,candidate_page_title,name_similarity,area_evidence,bodrum_evidence,address_evidence,phone_evidence,brand_evidence,negative_brand_conflict,candidate_score,match_method,candidate_rank,visible_complaint_count,discovered_at
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Bodrium Hotel & SPA,Celeste Bella Luxury Hotel & Spa,https://www.sikayetvar.com/celeste-bella-luxury-hotel-spa,celeste-bella-luxury-hotel-spa,Celeste Bella Luxury Hotel & Spa Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'bodrium' does not appear in candidate title at all],0.5106,False,False,False,False,True,True,0.3574,search_fallback,3,2,2026-08-25T12:30:43.793326+00:00
BOD037,Bodrum Bay Resort,Bodrum Merkez,Bodrum Bay Resort,Bodrum Bay Resort,https://www.sikayetvar.com/bodrum-bay-resort,bodrum-bay-resort,Bodrum Bay Resort Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,0,2026-08-25T12:31:01.511082+00:00
BOD038,Casa Mare Bodrum,Bodrum Merkez,Casa Mare Bodrum,Casa Mare Bodrum,https://www.sikayetvar.com/casa-mare-bodrum,casa-mare-bodrum,Casa Mare Bodrum Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,1,2026-08-25T12:31:07.268941+00:00
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,Diamond of Bodrum Hotel,Diamond of Bodrum,https://www.sikayetvar.com/diamond-of-bodrum,diamond-of-bodrum,Diamond of Bodrum Şikayet ve Yorumları - Şikayetvar,0.7692,False,True,False,False,True,False,0.6885,slug_guess,1,10,2026-08-25T12:31:18.102967+00:00
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,La Quinta by Wyndham Bodrum,La Quinta By Wyndham Bodrum,https://www.sikayetvar.com/la-quinta-by-wyndham-bodrum,la-quinta-by-wyndham-bodrum,La Quinta By Wyndham Bodrum Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,5,2026-08-25T12:31:23.690454+00:00
BOD042,Mandarin Resort Hotel,Bodrum Merkez,Mandarin Resort Hotel,Mandarin Resort,https://www.sikayetvar.com/mandarin-resort,mandarin-resort,Mandarin Resort Şikayet ve Yorumları - Şikayetvar,0.8333,False,False,False,False,True,False,0.5833,search_fallback,1,1,2026-08-25T12:31:27.404668+00:00
BOD044,Noa Suite Hotel,Bodrum Merkez,Noa Suite Hotel,Miracle Resort Hotel,https://www.sikayetvar.com/miracle-resort-hotel,miracle-resort-hotel,Miracle Resort Hotel Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'noa' does not appear in candidate title at all],0.4571,False,False,False,False,False,True,0.32,search_fallback,1,7,2026-08-25T12:31:49.246926+00:00
BOD045,Salmakis Resort & Spa,Bodrum Merkez,Salmakis Resort & Spa,Salmakis Resort & Spa,https://www.sikayetvar.com/salmakis-resort-spa,salmakis-resort-spa,Salmakis Resort & Spa Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,7,2026-08-25T12:32:00.289743+00:00
BOD046,Senses Hotel,Bodrum Merkez,Senses Hotel,The Sense De Luxe Hotel,https://www.sikayetvar.com/the-sense-de-luxe-hotel,the-sense-de-luxe-hotel,The Sense De Luxe Hotel Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'senses' does not appear in candidate title at all],0.6286,False,False,False,False,True,True,0.44,search_fallback,1,5,2026-08-25T12:32:09.594445+00:00
BOD046,Senses Hotel,Bodrum Merkez,Senses Hotel,X Life Hotel Sarıgerme,https://www.sikayetvar.com/x-life-hotel-sarigerme,x-life-hotel-sarigerme,X Life Hotel Sarıgerme Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'senses' does not appear in candidate title at all],0.4118,False,False,False,False,False,True,0.2882,search_fallback,2,1,2026-08-25T12:32:09.594445+00:00
BOD046,Senses Hotel,Bodrum Merkez,Senses Hotel,Six Senses Kocataş Mansions,https://www.sikayetvar.com/six-senses-kocatas-mansions,six-senses-kocatas-mansions,Six Senses Kocataş Mansions Şikayet ve Yorumları - Şikayetvar,0.4615,False,False,False,False,False,False,0.3231,search_fallback,3,4,2026-08-25T12:32:09.594445+00:00
BOD048,Babana Hotel,Göltürkbükü,Babana Hotel,Sealife Resort Hotel Spa,https://www.sikayetvar.com/sealife-resort-hotel-spa,sealife-resort-hotel-spa,Sealife Resort Hotel Spa Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'babana' does not appear in candidate title at all],0.3889,False,False,False,False,False,True,0.2722,search_fallback,1,8,2026-08-25T12:32:33.638278+00:00
BOD048,Babana Hotel,Göltürkbükü,Babana Hotel,Ephesia Resort Hotel,https://www.sikayetvar.com/ephesia-resort-hotel,ephesia-resort-hotel,Ephesia Resort Hotel Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'babana' does not appear in candidate title at all],0.4375,False,False,False,False,False,True,0.3062,search_fallback,2,23,2026-08-25T12:32:33.638278+00:00
BOD048,Babana Hotel,Göltürkbükü,Babana Hotel,Acapulco Resort Hotel,https://www.sikayetvar.com/acapulco-resort-hotel,acapulco-resort-hotel,Acapulco Resort Hotel Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'babana' does not appear in candidate title at all],0.4848,False,False,False,False,False,True,0.3394,search_fallback,3,24,2026-08-25T12:32:33.638278+00:00
BOD048,Babana Hotel,Göltürkbükü,Babana Hotel,Grand Termal Yalova Resort Hotel & Spa,https://www.sikayetvar.com/grand-termal-yalova-resort-hotel-spa,grand-termal-yalova-resort-hotel-spa,Grand Termal Yalova Resort Hotel & Spa Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'babana' does not appear in candidate title at all],0.375,False,False,False,False,False,True,0.2625,search_fallback,4,24,2026-08-25T12:32:33.638278+00:00
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,Faros Bodrum Hotel Göltürkbükü,Faros Bodrum Hotel Göltürkbükü,https://www.sikayetvar.com/faros-bodrum-hotel-golturkbuku,faros-bodrum-hotel-golturkbuku,Faros Bodrum Hotel Göltürkbükü Şikayet ve Yorumları - Şikayetvar,1.0,True,True,False,False,True,False,1.0,slug_guess,1,0,2026-08-25T12:33:11.557558+00:00
BOD053,Gölköy Suites,Göltürkbükü,Gölköy Suites,Gölköy,https://www.sikayetvar.com/golkoy,golkoy,Gölköy Şikayet ve Yorumları - Şikayetvar,0.6316,False,False,False,False,True,False,0.4421,slug_guess,1,0,2026-08-25T12:33:22.449853+00:00
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,"Mandarin Oriental, Bodrum",Mandarin Oriental Bodrum,https://www.sikayetvar.com/mandarin-oriental-bodrum,mandarin-oriental-bodrum,Mandarin Oriental Bodrum Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,2,2026-08-25T12:33:48.722932+00:00
BOD058,Bodrum Beach Resort,Gümbet,Bodrum Beach Resort,Bodrum Beach Resort,https://www.sikayetvar.com/bodrum-beach-resort,bodrum-beach-resort,Bodrum Beach Resort Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,3,2026-08-25T12:33:59.584003+00:00
BOD058,Bodrum Beach Resort,Gümbet,Bodrum Beach Resort,Bodrum Belediyesi,https://www.sikayetvar.com/bodrum-belediyesi,bodrum-belediyesi,Bodrum Belediyesi Şikayet ve Yorumları - Şikayetvar,0.3636,False,True,False,False,False,False,0.4045,related_slug,2,24,2026-08-25T12:33:59.584003+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Bodrum Hotel Baba,Vogue Hotel Supreme Bodrum,https://www.sikayetvar.com/vogue-hotel-supreme-bodrum,vogue-hotel-supreme-bodrum,Vogue Hotel Supreme Bodrum Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'baba' does not appear in candidate title at all],0.4138,False,True,False,False,False,True,0.4397,search_fallback,1,23,2026-08-25T12:34:06.990387+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Bodrum Hotel Baba,Golden Beach Otel Bodrum,https://www.sikayetvar.com/golden-beach-otel-bodrum,golden-beach-otel-bodrum,Golden Beach Otel Bodrum Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'baba' does not appear in candidate title at all],0.3704,False,True,False,False,False,True,0.4093,search_fallback,2,24,2026-08-25T12:34:06.990387+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Bodrum Hotel Baba,Bodrum Park Resort,https://www.sikayetvar.com/bodrum-park-resort,bodrum-park-resort,Bodrum Park Resort Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'baba' does not appear in candidate title at all],0.1905,False,True,False,False,False,True,0.2833,search_fallback,3,22,2026-08-25T12:34:06.990387+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Bodrum Hotel Baba,Diamond of Bodrum,https://www.sikayetvar.com/diamond-of-bodrum,diamond-of-bodrum,Diamond of Bodrum Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'baba' does not appear in candidate title at all],0.2,False,True,False,False,False,True,0.29,search_fallback,4,10,2026-08-25T12:34:06.990387+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Bodrum Hotel Baba,Baia Hotels Bodrum,https://www.sikayetvar.com/baia-hotels-bodrum,baia-hotels-bodrum,Baia Hotels Bodrum Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'baba' does not appear in candidate title at all],0.4762,False,True,False,False,False,True,0.4833,search_fallback,5,4,2026-08-25T12:34:06.990387+00:00
BOD060,Club Shark Hotel,Gümbet,Club Shark Hotel,Club Shark Hotel,https://www.sikayetvar.com/club-shark-hotel,club-shark-hotel,Club Shark Hotel Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,1,2026-08-25T12:34:23.704361+00:00
BOD060,Club Shark Hotel,Gümbet,Club Shark Hotel,Shark,https://www.sikayetvar.com/shark,shark,Shark Şikayet ve Yorumları - Şikayetvar,0.4762,False,False,False,False,False,False,0.3333,slug_guess,2,0,2026-08-25T12:34:23.704361+00:00
BOD061,Gümbet Anıl Beach,Gümbet,Gümbet Anıl Beach,Gümbet Anıl Beach,https://www.sikayetvar.com/gumbet-anil-beach,gumbet-anil-beach,Gümbet Anıl Beach Şikayet ve Yorumları - Şikayetvar,1.0,True,False,False,False,True,False,0.85,slug_guess,1,2,2026-08-25T12:34:31.935726+00:00
BOD063,Jasmin Beach Hotel,Gümbet,Jasmin Beach Hotel,Jasmin Beach Hotels,https://www.sikayetvar.com/jasmin-beach-hotels,jasmin-beach-hotels,Jasmin Beach Hotels Şikayet ve Yorumları - Şikayetvar,0.973,False,False,False,False,True,False,0.6811,search_fallback,1,1,2026-08-25T12:34:46.452087+00:00
BOD064,Jasmin Elite Residence & Spa,Gümbet,Jasmin Elite Residence & Spa,Jasmin Elite Residence,https://www.sikayetvar.com/jasmin-elite-residence,jasmin-elite-residence,Jasmin Elite Residence Şikayet ve Yorumları - Şikayetvar,0.9167,False,False,False,False,True,False,0.6417,search_fallback,1,0,2026-08-25T12:34:57.499929+00:00
BOD065,Mirada Exclusive Bodrum,Gümbet,Mirada Exclusive Bodrum,Mirada Hotels & Resorts,https://www.sikayetvar.com/mirada-hotels-resorts,mirada-hotels-resorts,Mirada Hotels & Resorts Şikayet ve Yorumları - Şikayetvar,0.5946,False,False,False,False,True,False,0.4162,search_fallback,1,13,2026-08-25T12:35:10.511163+00:00
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,Royal Asarlik Beach Hotel & Spa,Royal Asarlık Beach,https://www.sikayetvar.com/royal-asarlik-beach,royal-asarlik-beach,Royal Asarlık Beach Şikayet ve Yorumları - Şikayetvar,0.7917,False,False,False,False,True,False,0.5542,search_fallback,1,16,2026-08-25T12:35:18.037331+00:00
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,Royal Asarlik Beach Hotel & Spa,Royal Beach Club Hotel,https://www.sikayetvar.com/royal-beach-club-hotel,royal-beach-club-hotel,Royal Beach Club Hotel Şikayet ve Yorumları - Şikayetvar,0.6667,False,False,False,False,True,False,0.4667,search_fallback,2,24,2026-08-25T12:35:18.037331+00:00
BOD067,Sami Beach Hotel,Gümbet,Sami Beach Hotel,Sami Beach Hotel,https://www.sikayetvar.com/sami-beach-hotel,sami-beach-hotel,Sami Beach Hotel Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,6,2026-08-25T12:35:33.592374+00:00
BOD067,Sami Beach Hotel,Gümbet,Sami Beach Hotel,Köfteci Sami Usta,https://www.sikayetvar.com/kofteci-sami-usta,kofteci-sami-usta,Köfteci Sami Usta Şikayet ve Yorumları - Şikayetvar,0.3636,False,False,False,False,False,False,0.2545,related_slug,2,10,2026-08-25T12:35:33.592374+00:00
BOD068,Selectum Colours Bodrum,Gümbet,manual_alias,Selectum Hotels Selectum Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,selectum-hotels/selectum-bodrum,Selectum Hotels Selectum Bodrum Şikayetleri - Şikayetvar [CONFLICT: Page title matches sibling project hotel better: 'Selectum Collection Bodrum'],0.55,False,True,False,False,True,True,0.535,manual_alias,1,14,2026-08-25T12:35:42.842968+00:00
BOD068,Selectum Colours Bodrum,Gümbet,manual_alias,Selectum Hotels Selectum Colours,https://www.sikayetvar.com/selectum-hotels/selectum-colours,selectum-hotels/selectum-colours,Selectum Hotels Selectum Colours Şikayetleri - Şikayetvar,0.6667,False,False,False,False,True,False,0.4667,manual_alias,2,9,2026-08-25T12:35:42.842968+00:00
BOD069,Siesta Beach Apart,Gümbet,Siesta Beach Apart,Siesta Beach Apart,https://www.sikayetvar.com/siesta-beach-apart,siesta-beach-apart,Siesta Beach Apart Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,1,2026-08-25T12:35:46.418543+00:00
