hotel_id,place_id,hotel_name,area,sikayetvar_company_name,sikayetvar_url,sikayetvar_slug,match_status,match_score,match_method,match_reason,candidate_count,manual_review_required,page_accessible,visible_complaint_count,checked_at
BOD043,ChIJqVpIA2JtvhQRHEuqj5n7bz8,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:31:49.245058+00:00
BOD044,ChIJd_IxssJtvhQRRaGntjJV7oU,Noa Suite Hotel,Bodrum Merkez,Miracle Resort Hotel,https://www.sikayetvar.com/miracle-resort-hotel,miracle-resort-hotel,REVIEW_REQUIRED,0.32,search_fallback,score=0.32 name_sim=0.4571 bodrum=False area=False method=search_fallback,1,True,True,7,2026-08-25T12:32:00.288788+00:00
BOD045,ChIJGUkl_VBsvhQRhaJGNtf2b_Q,Salmakis Resort & Spa,Bodrum Merkez,Salmakis Resort & Spa,https://www.sikayetvar.com/salmakis-resort-spa,salmakis-resort-spa,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,1,False,True,7,2026-08-25T12:32:09.593351+00:00
BOD046,ChIJLcWrMBdtvhQRNeCOGk70ZYE,Senses Hotel,Bodrum Merkez,The Sense De Luxe Hotel,https://www.sikayetvar.com/the-sense-de-luxe-hotel,the-sense-de-luxe-hotel,REVIEW_REQUIRED,0.44,search_fallback,score=0.44 name_sim=0.6286 bodrum=False area=False method=search_fallback,3,True,True,5,2026-08-25T12:32:25.064343+00:00
BOD047,ChIJB_Y3_BBsvhQRK4aYUqtoLGI,The Marmara Bodrum,Bodrum Merkez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:32:33.636480+00:00
BOD048,ChIJW7-Z9-hvvhQRACntL8CkDZw,Babana Hotel,Göltürkbükü,Acapulco Resort Hotel,https://www.sikayetvar.com/acapulco-resort-hotel,acapulco-resort-hotel,REVIEW_REQUIRED,0.3394,search_fallback,score=0.3394 name_sim=0.4848 bodrum=False area=False method=search_fallback,4,True,True,24,2026-08-25T12:32:51.373575+00:00
BOD049,ChIJUbH2xLlvvhQRCVaq4tttTgY,Casa Del Mar Bodrum,Göltürkbükü,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:33:00.343988+00:00
BOD050,ChIJoZNUrrlvvhQRtKmU1DNfnzk,Daphnis Hotel Gölköy,Göltürkbükü,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:33:11.556029+00:00
BOD051,ChIJY-RkJbhvvhQRw99m7CRb_w0,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,Faros Bodrum Hotel Göltürkbükü,https://www.sikayetvar.com/faros-bodrum-hotel-golturkbuku,faros-bodrum-hotel-golturkbuku,PAGE_FOUND_NO_COMPLAINT,1.0,slug_guess,score=1.0 name_sim=1.0 bodrum=True area=True method=slug_guess,1,True,True,0,2026-08-25T12:33:15.244970+00:00
BOD052,ChIJLbUXL7pvvhQRHM5GVHR2Rg0,Flamm Bodrum,Göltürkbükü,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:33:22.447982+00:00
BOD053,ChIJaSEKq-lvvhQRZeKHVS45qRI,Gölköy Suites,Göltürkbükü,Gölköy,https://www.sikayetvar.com/golkoy,golkoy,NOT_FOUND,0.4421,slug_guess,score=0.4421 name_sim=0.6316 bodrum=False area=False method=slug_guess,1,True,True,0,2026-08-25T12:33:30.127573+00:00
BOD054,ChIJ-Zf0urlvvhQRkenPZ4sgzcA,Lavinya Maison,Göltürkbükü,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:33:39.425709+00:00
BOD055,ChIJG4OGJ6pvvhQRTnQTKIJda9g,Lavinya Otel Göltürkbükü,Göltürkbükü,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:33:48.720825+00:00
BOD056,ChIJAQAAQO5vvhQR0cqCHEaK7ic,"Mandarin Oriental, Bodrum",Göltürkbükü,Mandarin Oriental Bodrum,https://www.sikayetvar.com/mandarin-oriental-bodrum,mandarin-oriental-bodrum,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,False,True,2,2026-08-25T12:33:52.326596+00:00
BOD057,ChIJD7WKCLtvvhQRwXRKD3S2iQw,Selvi Bodrum,Göltürkbükü,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:33:59.582588+00:00
BOD058,ChIJxxkyuVJsvhQR6fKf-R5FXrc,Bodrum Beach Resort,Gümbet,Bodrum Beach Resort,https://www.sikayetvar.com/bodrum-beach-resort,bodrum-beach-resort,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,2,False,True,3,2026-08-25T12:34:06.989543+00:00
BOD059,ChIJ34m31a1tvhQRlMV0_URSSzE,Bodrum Hotel Baba,Gümbet,Baia Hotels Bodrum,https://www.sikayetvar.com/baia-hotels-bodrum,baia-hotels-bodrum,REVIEW_REQUIRED,0.4833,search_fallback,score=0.4833 name_sim=0.4762 bodrum=True area=False method=search_fallback,5,True,True,4,2026-08-25T12:34:23.703683+00:00
BOD060,ChIJjfpFULBtvhQRmWBxrJ_BUrk,Club Shark Hotel,Gümbet,Club Shark Hotel,https://www.sikayetvar.com/club-shark-hotel,club-shark-hotel,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,2,False,True,1,2026-08-25T12:34:31.934807+00:00
BOD061,ChIJi1RysUtsvhQReySSwLnKb6U,Gümbet Anıl Beach,Gümbet,Gümbet Anıl Beach,https://www.sikayetvar.com/gumbet-anil-beach,gumbet-anil-beach,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=False area=True method=slug_guess,1,False,True,2,2026-08-25T12:34:37.522349+00:00
BOD062,ChIJO08Er6htvhQR5H87YsG4EeY,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:34:46.449598+00:00
BOD063,ChIJNRIjqlRsvhQRGxrphNIqGwk,Jasmin Beach Hotel,Gümbet,Jasmin Beach Hotels,https://www.sikayetvar.com/jasmin-beach-hotels,jasmin-beach-hotels,FOUND_HIGH_CONFIDENCE,0.6811,search_fallback,score=0.6811 name_sim=0.973 bodrum=False area=False method=search_fallback,1,True,True,1,2026-08-25T12:34:57.499263+00:00
BOD064,ChIJAQ-IIVNsvhQRAQriNOcd5wA,Jasmin Elite Residence & Spa,Gümbet,Jasmin Elite Residence,https://www.sikayetvar.com/jasmin-elite-residence,jasmin-elite-residence,FOUND_HIGH_CONFIDENCE,0.6417,search_fallback,score=0.6417 name_sim=0.9167 bodrum=False area=False method=search_fallback,1,True,True,0,2026-08-25T12:35:10.510353+00:00
BOD065,ChIJk_7uUOZtvhQRslDfiDT6f6s,Mirada Exclusive Bodrum,Gümbet,Mirada Hotels & Resorts,https://www.sikayetvar.com/mirada-hotels-resorts,mirada-hotels-resorts,NOT_FOUND,0.4162,search_fallback,score=0.4162 name_sim=0.5946 bodrum=False area=False method=search_fallback,1,True,True,13,2026-08-25T12:35:18.036552+00:00
BOD066,ChIJN0uCWq9tvhQRf5-KhqIJ2as,Royal Asarlik Beach Hotel & Spa,Gümbet,Royal Asarlık Beach,https://www.sikayetvar.com/royal-asarlik-beach,royal-asarlik-beach,FOUND_HIGH_CONFIDENCE,0.5542,search_fallback,score=0.5542 name_sim=0.7917 bodrum=False area=False method=search_fallback,2,True,True,16,2026-08-25T12:35:33.591462+00:00
BOD067,ChIJmbdvxK1tvhQRx48Im613KJA,Sami Beach Hotel,Gümbet,Sami Beach Hotel,https://www.sikayetvar.com/sami-beach-hotel,sami-beach-hotel,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,2,False,True,6,2026-08-25T12:35:42.842142+00:00
BOD068,ChIJxRQCpKdtvhQRiZV1rLRDZSM,Selectum Colours Bodrum,Gümbet,Selectum Hotels Selectum Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,selectum-hotels/selectum-bodrum,REVIEW_REQUIRED,0.535,manual_alias,score=0.535 name_sim=0.55 bodrum=True area=False method=manual_alias,2,True,True,14,2026-08-25T12:35:46.418201+00:00
BOD069,ChIJR_ba3VJsvhQRapanF-L0dwo,Siesta Beach Apart,Gümbet,Siesta Beach Apart,https://www.sikayetvar.com/siesta-beach-apart,siesta-beach-apart,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,1,False,True,1,2026-08-25T12:35:54.057534+00:00
BOD070,ChIJHcO2oKhtvhQR0DTiondx6MU,The Luvi Hotel,Gümbet,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:36:04.799875+00:00
BOD071,ChIJy0Z7TattvhQRtyODGrWwzok,Tropicana Beach Hotel,Gümbet,Tropicana,https://www.sikayetvar.com/tropicana,tropicana,NOT_FOUND,0.42,slug_guess,score=0.42 name_sim=0.6 bodrum=False area=False method=slug_guess,1,True,True,3,2026-08-25T12:36:12.229040+00:00
